Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
11829876682198.348,11329477181444.256,"""{'sgdregressor__alpha': 0.3; 'sgdregressor__penalty': 'l2'}""",49.3751459369,-10820086131387.402
_,12072922669922.416,_,50.0000007451,13390260169091.21
_,11362091685516.236,_,50.0000007451,3184335827561.8003
_,12422691561792.324,_,50.0000007451,5470696297239.295
_,11985335880126.014,_,50.0000007451,-6709508378537.194
_,12803543550162.463,_,50.0000007451,4192869393134.7646
_,10488116727323.797,_,50.0000007451,10219572543016.367
_,12447236906383.633,_,50.0000007451,11886220726613.523
_,12968805230495.17,_,50.0000007451,-5779705682910.596
_,10418545428817.148,_,50.0000007451,7423172992888.8125
_,_,_,50.0000007451,-3377328446266.2705
_,_,_,50.0000007451,-21245718824994.293
_,_,_,50.0000007451,-12487517192991.18
_,_,_,50.0000007451,-8053555780192.452
_,_,_,50.0000007451,5795713188700.689
_,_,_,148.7502926096,5307930609864.574
_,_,_,150.0000022352,-3050105804094.4453
_,_,_,150.0000022352,-2603155637843.8354
_,_,_,150.0000022352,1481587626179.2163
_,_,_,150.0000022352,-15491747581558.395
_,_,_,150.0000022352,-11317391913955.21
_,_,_,150.0000022352,9736502231343.922
_,_,_,150.0000022352,332817334296.8465
_,_,_,150.0000022352,-11273810698530.432
_,_,_,150.0000022352,-5031750599358.705
_,_,_,100.6248563059,-239736870598.25406
_,_,_,100.0000014901,7010998801835.463
_,_,_,100.0000014901,-19318172885708.05
_,_,_,100.0000014901,10601651735442.43
_,_,_,100.0000014901,21921661769119.504
_,_,_,100.0000014901,-3504576031297.42
_,_,_,100.0000014901,-780101930682.0792
_,_,_,100.0000014901,-18884115073426.973
_,_,_,100.0000014901,2927540976695.3647
_,_,_,100.0000014901,5448377212674.325
_,_,_,100.0000014901,-3248228190361.803
_,_,_,100.0000014901,14572099118584.613
_,_,_,99.3788078438,14170429320619.127
_,_,_,50.0000007451,13128182506754.38
_,_,_,50.0000007451,8247068598269.971
_,_,_,50.0000007451,8836635930330.535
_,_,_,50.0000007451,10859746973675.352
_,_,_,50.0000007451,1925589932035.4011
_,_,_,50.0000007451,21012649620169.637
_,_,_,50.0000007451,-2308791508935.113
_,_,_,50.0000007451,27199091646073.613
_,_,_,50.0000007451,2918654014685.4575
_,_,_,50.0000007451,6790572209245.244
_,_,_,50.0000007451,43222422608478.93
_,_,_,50.0000007451,7976907547055.744
_,_,_,50.0000007451,7410648999094.527
_,_,_,50.0000007451,-2798505036115.9824
_,_,_,51.2423880255,2702154192282.658
_,_,_,150.0000022352,-890173320839.6525
_,_,_,150.0000022352,1976015211838.5586
_,_,_,150.0000022352,-15304570369199.754
_,_,_,150.0000022352,31378155582613.72
_,_,_,150.0000022352,-39284093026017.51
_,_,_,150.0000022352,14189044030023.766
_,_,_,150.0000022352,-12480240518340.895
_,_,_,150.0000022352,13189990359673.18
_,_,_,150.0000022352,-7106057681844.131
_,_,_,149.378808598,-14753268271506.693
_,_,_,100.0000014901,491074911761.4244
_,_,_,100.0000014901,4675549521010.723
_,_,_,100.0000014901,-9175028216536.562
_,_,_,100.0000014901,-8640337602914.763
_,_,_,100.0000014901,-13196014353423.805
_,_,_,100.0000014901,-14899971416733.129
_,_,_,100.0000014901,-8731715956460.21
_,_,_,100.0000014901,-4546187124677.1
_,_,_,100.0000014901,967375180078.4784
_,_,_,100.0000014901,6600564309655.041
_,_,_,100.0000014901,-6488980605506.775
_,_,_,100.0000014901,-8955416536387.836
_,_,_,149.3751474346,-12605582391995.842
_,_,_,150.0000022352,-4780899291506.414
