Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
32561212515199.74,26188775930362.01,"""{'sgdregressor__alpha': 0.3; 'sgdregressor__penalty': 'l2'}""",49.3751459369,-10592506932136.117
_,31270283621804.875,_,50.0000007451,43189869790221.59
_,29043467634127.625,_,50.0000007451,31304755999438.258
_,35045475252904.9,_,50.0000007451,-17783069939088.234
_,34088348468956.18,_,50.0000007451,53452230660848.914
_,31594904606633.96,_,50.0000007451,18449588746975.7
_,32083494172995.137,_,50.0000007451,39361302088181.16
_,31741116778772.895,_,50.0000007451,678300860801.1323
_,27001298751747.04,_,50.0000007451,-17215863212071.393
_,42752023666555.28,_,50.0000007451,16222427555198.713
_,38503661151449.12,_,50.0000007451,-56141349764369.78
_,27746001258125.914,_,50.0000007451,-11061727782012.209
_,23258130939844.434,_,50.0000007451,48820239581704.32
_,38310381116769.945,_,50.0000007451,36037243101888.516
_,33019791795640.887,_,50.0000007451,-23949672596612.9
_,31156574440589.5,_,148.7502926096,22994872187330.01
_,32221372943334.98,_,150.0000022352,-18532561196937.633
_,35581481661598.195,_,150.0000022352,410329020566.0612
_,24665862007097.87,_,150.0000022352,-20305298124706.266
_,39667030280005.266,_,150.0000022352,9480179400616.53
_,33714322819039.707,_,150.0000022352,-45361255507782.77
_,32671027086833.805,_,150.0000022352,-10919866964575.096
_,25487242844425.53,_,150.0000022352,-6159266672520.204
_,27986923267169.57,_,150.0000022352,-7536164475874.693
_,29081352224354.113,_,150.0000022352,28617349817273.594
_,33397741082214.227,_,100.6248563059,-43090154022852.4
_,39319573674744.375,_,100.0000014901,-47670346876738.85
_,32044702759774.125,_,100.0000014901,-24776604596350.977
_,43138085999919.164,_,100.0000014901,-16650469150756.879
_,29230799920162.188,_,100.0000014901,-26016750137676.45
_,34282554787048.113,_,100.0000014901,1091375937350.1399
_,33324588886929.938,_,100.0000014901,82149924870499.39
_,39345043962603.89,_,100.0000014901,-55513772962971.2
_,31426352251221.133,_,100.0000014901,-24489974662623.348
_,30632517720712.68,_,100.0000014901,37674401867082.98
_,30924532004830.332,_,100.0000014901,196127737650.5922
_,33545285136743.805,_,100.0000014901,44990498592016.69
_,29561827811336.5,_,99.3788078438,-3584539988594.105
_,33544822820625.28,_,50.0000007451,-14063720949065.432
_,34849727067985.07,_,50.0000007451,24837253863379.113
_,_,_,50.0000007451,-19361769421497.05
_,_,_,50.0000007451,-25661615943139.508
_,_,_,50.0000007451,-24097412627274.06
_,_,_,50.0000007451,5410676848175.982
_,_,_,50.0000007451,-2570612617193.498
_,_,_,50.0000007451,-21973031531556.223
_,_,_,50.0000007451,8507079410931.45
_,_,_,50.0000007451,-12804837582772.004
_,_,_,50.0000007451,-29248212007004.457
_,_,_,50.0000007451,-30258090795562.156
_,_,_,50.0000007451,21860751570317.246
_,_,_,50.0000007451,-31412561660714.96
_,_,_,51.2423880255,29767359720221.652
_,_,_,150.0000022352,-35870427307170.914
_,_,_,150.0000022352,1945043700351.9922
_,_,_,150.0000022352,-15878548784850.271
_,_,_,150.0000022352,6630629168723.48
_,_,_,150.0000022352,-192377542888.79062
_,_,_,150.0000022352,32759172369135.637
_,_,_,150.0000022352,-15965777746771.764
_,_,_,150.0000022352,-48870863664593.64
_,_,_,150.0000022352,-10501712698078.502
_,_,_,149.378808598,-39026009123867.72
_,_,_,100.0000014901,39723451604411.0
_,_,_,100.0000014901,62880155949927.97
_,_,_,100.0000014901,-22819877254609.242
_,_,_,100.0000014901,-10287578230952.084
_,_,_,100.0000014901,-44623988646838.766
_,_,_,100.0000014901,-42578844010763.19
_,_,_,100.0000014901,6261173416764.459
_,_,_,100.0000014901,-20343929630286.098
_,_,_,100.0000014901,40693853799638.69
_,_,_,100.0000014901,41827249798389.41
_,_,_,100.0000014901,-12844368219926.396
_,_,_,100.0000014901,7457005481523.553
_,_,_,149.3751474346,-28626670782511.04
_,_,_,150.0000022352,25439037029762.094
_,_,_,150.0000022352,47789958911926.99
_,_,_,150.0000022352,-16969648929872.094
_,_,_,150.0000022352,-14059935242379.873
_,_,_,150.0000022352,-42469886909105.81
_,_,_,150.0000022352,-36071385862799.65
_,_,_,150.0000022352,-8130656451836.119
_,_,_,150.0000022352,-41531694302688.75
_,_,_,150.0000022352,21575613159356.332
_,_,_,51.2497103554,-31480933297534.234
_,_,_,50.0000007451,889997307134.154
_,_,_,50.0000007451,7699765727064.96
_,_,_,50.0000007451,11914525190596.143
_,_,_,50.0000007451,3472918788858.826
_,_,_,50.0000007451,-4318952070541.865
_,_,_,50.0000007451,26720735773861.758
_,_,_,50.0000007451,26316158922193.344
_,_,_,50.0000007451,-39521525904486.21
_,_,_,50.0000007451,-911387410513.466
_,_,_,50.0000007451,47046161012878.914
_,_,_,50.0000007451,-24651906239101.12
_,_,_,50.0000007451,11769141142499.324
_,_,_,50.0000007451,17802438355909.957
_,_,_,50.0000007451,-51241581704158.38
_,_,_,99.3751466773,-4396228258156.471
_,_,_,100.0000014901,-22199574222773.703
_,_,_,100.0000014901,-56433633258600.96
_,_,_,100.0000014901,-26311023871049.285
_,_,_,100.0000014901,9031598752285.092
_,_,_,100.0000014901,26354245999269.375
_,_,_,100.0000014901,-19174191365897.492
_,_,_,100.0000014901,14752145438777.334
_,_,_,100.0000014901,7838708729693.694
_,_,_,100.0000014901,-21786962411025.094
_,_,_,100.0000014901,13837069775119.996
_,_,_,100.0000014901,65411227182886.88
_,_,_,98.7576142035,-2129006965854.5847
_,_,_,0.0,-14462186270485.803
_,_,_,0.0,7379412422888.473
_,_,_,49.3751459369,25324979327897.895
_,_,_,50.0000007451,-21922908921610.113
_,_,_,50.0000007451,-13139304177236.701
_,_,_,50.0000007451,11709499771725.322
_,_,_,50.0000007451,-13489679619718.805
_,_,_,50.0000007451,46941673085177.9
_,_,_,50.0000007451,9109918957085.525
_,_,_,50.0000007451,35649168391673.4
_,_,_,50.0000007451,26984503570272.52
_,_,_,50.0000007451,-9228833897583.135
_,_,_,50.0000007451,-1442821070342.453
_,_,_,50.0000007451,7894185350830.404
_,_,_,50.0000007451,-15363172574157.639
_,_,_,50.0000007451,39626218736062.72
_,_,_,50.0000007451,14684537099651.293
_,_,_,148.7502926096,9389593764133.395
_,_,_,150.0000022352,-18865715793816.47
_,_,_,150.0000022352,-21831814774069.25
_,_,_,150.0000022352,-11614062778531.246
_,_,_,150.0000022352,47939160540858.875
_,_,_,150.0000022352,-21887782869657.188
_,_,_,150.0000022352,9341676910743.217
_,_,_,150.0000022352,-46876400087338.19
_,_,_,150.0000022352,-1100795852009.9517
_,_,_,150.0000022352,-52836562175001.36
_,_,_,100.6248563059,-27414014096955.11
_,_,_,100.0000014901,31336813377166.984
_,_,_,100.0000014901,18683962205662.93
_,_,_,100.0000014901,-7172370065774.565
_,_,_,100.0000014901,13538693037658.066
_,_,_,100.0000014901,8963962607265.908
_,_,_,100.0000014901,10805338202207.23
_,_,_,100.0000014901,-22333593269486.95
_,_,_,100.0000014901,2501010680835.921
_,_,_,100.0000014901,29948528182701.3
_,_,_,100.0000014901,-25809100213565.82
_,_,_,100.0000014901,24976606636912.758
_,_,_,99.3788078438,15902569741659.574
