Mean Score,Participant Scores,True Label,Predicted Label
0.3546534197174004,0.35158808582721623,2,0
_,0.32802559759081495,2,0
_,0.3733295689817429,2,0
_,0.3280357927097057,2,2
_,0.36794184076792774,2,2
_,0.37365390600684717,2,2
_,0.34365079365079365,2,0
_,0.3802922077922078,2,0
_,0.3234701047744526,2,0
_,0.3386776377217554,2,0
_,0.3326298701298701,2,0
_,0.39112318840579713,2,0
_,0.3449628270280444,2,0
_,0.3377344877344878,2,0
_,0.3418290043290043,2,0
_,0.366002886002886,2,0
_,0.33333333333333337,2,0
_,0.3366197691197691,2,0
_,0.34137022397891964,2,0
_,0.3564243943191312,2,0
_,0.4665678524374176,2,0
_,0.3243700159489633,2,0
_,0.3422581404103143,2,0
_,0.3317593638245812,2,0
_,0.624011544011544,2,0
_,0.3120310245310245,2,0
_,0.3652832674571805,2,0
_,0.37222507025138607,2,1
_,0.33188405797101456,2,0
_,0.34421052631578947,2,0
_,0.3133022774327122,2,0
_,0.32546348578957274,2,0
_,0.33365079365079364,2,0
_,0.3524054621848739,2,0
_,0.3343975468975469,2,0
_,0.3490777338603425,2,0
_,0.3325,2,0
_,0.3366647844908714,2,0
_,0.33333333333333337,2,0
_,0.3700449876920465,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,1
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,0,0
_,_,0,0
