Mean Score,Test Scores,True Label,Predicted Label
64.08439,64.087425,49.375145,46.56746
_,_,50.0,46.977306
_,_,50.0,43.15247
_,_,50.0,36.721878
_,_,50.0,39.838154
_,_,50.0,38.347797
_,_,50.0,40.7349
_,_,50.0,39.968212
_,_,50.0,40.487953
_,_,50.0,41.283962
_,_,50.0,43.74134
_,_,50.0,45.317085
_,_,50.0,41.828068
_,_,50.0,41.029392
_,_,50.0,39.959373
_,_,148.75029,51.434273
_,_,150.0,40.13929
_,_,150.0,38.213932
_,_,150.0,35.874706
_,_,150.0,35.88111
_,_,150.0,33.558735
_,_,150.0,37.055157
_,_,150.0,37.5466
_,_,150.0,40.721386
_,_,150.0,34.007042
_,_,100.624855,35.40813
_,_,100.0,41.407112
_,_,100.0,36.44127
_,_,100.0,45.74807
_,_,100.0,43.57136
_,_,100.0,40.19388
_,_,100.0,35.837406
_,_,100.0,43.30662
_,_,100.0,39.62335
_,_,100.0,39.35297
_,_,100.0,43.55354
_,_,100.0,38.421173
_,_,99.37881,45.680134
_,_,50.0,37.950966
_,_,50.0,39.556747
_,_,50.0,36.4863
_,_,50.0,40.686695
_,_,50.0,41.493362
_,_,50.0,40.56128
_,_,50.0,41.385323
_,_,50.0,38.822224
_,_,50.0,38.161022
_,_,50.0,42.16441
_,_,50.0,40.091293
_,_,50.0,40.3977
_,_,50.0,38.699215
_,_,50.0,41.08077
_,_,51.24239,34.5223
_,_,150.0,36.33882
_,_,150.0,40.933407
_,_,150.0,39.134846
_,_,150.0,38.058296
_,_,150.0,34.730816
_,_,150.0,35.79115
_,_,150.0,39.418823
_,_,150.0,41.47678
_,_,150.0,37.87495
_,_,149.37881,41.289352
_,_,100.0,47.15194
_,_,100.0,36.66844
_,_,100.0,39.246235
_,_,100.0,35.643448
_,_,100.0,41.72301
_,_,100.0,45.486275
_,_,100.0,41.66333
_,_,100.0,46.350353
_,_,100.0,46.42396
_,_,100.0,46.604675
_,_,100.0,38.414326
_,_,100.0,38.22572
_,_,149.37515,44.2442
_,_,150.0,41.839954
_,_,150.0,45.53167
_,_,150.0,41.162125
_,_,150.0,40.29753
_,_,150.0,41.765705
_,_,150.0,38.24919
_,_,150.0,39.474083
_,_,150.0,35.26765
_,_,150.0,38.89217
_,_,51.24971,37.638958
_,_,50.0,31.45563
_,_,50.0,34.021587
_,_,50.0,37.34834
_,_,50.0,39.961002
_,_,50.0,40.08566
_,_,50.0,39.133556
_,_,50.0,40.339355
_,_,50.0,39.144394
_,_,50.0,38.103104
_,_,50.0,34.26351
_,_,50.0,41.235714
_,_,50.0,37.10402
_,_,50.0,39.16434
_,_,50.0,35.47442
_,_,99.375145,48.37361
_,_,100.0,39.037613
_,_,100.0,43.02598
_,_,100.0,36.414665
_,_,100.0,42.287865
_,_,100.0,38.600502
_,_,100.0,38.239597
_,_,100.0,42.99256
_,_,100.0,41.657825
_,_,100.0,38.05474
_,_,100.0,40.268158
_,_,100.0,45.639988
_,_,98.757614,42.20898
_,_,0.0,35.534676
_,_,0.0,33.827568
_,_,49.375145,47.54623
_,_,50.0,42.82805
_,_,50.0,36.993176
_,_,50.0,37.580208
_,_,50.0,40.32957
_,_,50.0,38.938343
_,_,50.0,42.940193
_,_,50.0,35.880795
_,_,50.0,38.79804
_,_,50.0,38.46635
_,_,50.0,39.60984
_,_,50.0,41.637066
_,_,50.0,44.10455
_,_,50.0,48.62869
_,_,50.0,40.32862
_,_,148.75029,42.18246
_,_,150.0,41.186836
_,_,150.0,38.759487
_,_,150.0,38.705803
_,_,150.0,41.422398
_,_,150.0,39.009075
_,_,150.0,38.96132
_,_,150.0,40.722538
_,_,150.0,38.355934
_,_,150.0,38.81681
_,_,100.624855,39.701084
_,_,100.0,40.099186
_,_,100.0,40.586246
_,_,100.0,37.503677
_,_,100.0,37.75999
_,_,100.0,40.54889
_,_,100.0,40.810867
_,_,100.0,36.920853
_,_,100.0,39.130177
_,_,100.0,41.368603
_,_,100.0,39.81437
_,_,100.0,41.036713
_,_,99.37881,44.667057
_,_,50.0,39.566242
_,_,50.0,39.90955
_,_,50.0,40.002037
_,_,50.0,39.121418
_,_,50.0,40.322353
_,_,50.0,38.15897
_,_,50.0,41.42189
_,_,50.0,40.562912
_,_,50.0,37.919304
_,_,50.0,41.10808
_,_,50.0,37.7801
_,_,50.0,42.273876
_,_,50.0,41.06017
_,_,50.0,40.542107
_,_,51.24239,32.604416
_,_,150.0,43.559406
_,_,150.0,39.035862
_,_,150.0,40.725113
_,_,150.0,38.339348
_,_,150.0,39.39633
_,_,150.0,38.893925
_,_,150.0,39.994186
_,_,150.0,39.539513
_,_,150.0,42.37243
_,_,149.37881,45.224403
_,_,100.0,38.734367
_,_,100.0,36.378895
_,_,100.0,38.535847
_,_,100.0,41.155064
_,_,100.0,42.75391
_,_,100.0,39.577034
_,_,100.0,40.084038
_,_,100.0,40.55019
_,_,100.0,38.935234
_,_,100.0,39.66768
_,_,100.0,42.4987
_,_,100.0,38.482403
_,_,149.37515,41.629215
_,_,150.0,38.70883
_,_,150.0,42.544273
_,_,150.0,37.725212
_,_,150.0,43.906425
_,_,150.0,37.425827
_,_,150.0,37.76285
_,_,150.0,40.121155
_,_,150.0,40.33443
_,_,51.24971,34.06814
_,_,50.0,39.84342
_,_,50.0,39.412113
_,_,50.0,42.994144
_,_,50.0,41.63442
_,_,50.0,40.82757
_,_,50.0,42.060932
_,_,50.0,40.18984
_,_,50.0,37.45939
_,_,50.0,39.632908
_,_,50.0,42.17699
_,_,50.0,41.61885
_,_,50.0,40.741108
_,_,50.0,37.65083
_,_,50.0,36.936478
_,_,99.375145,40.51728
_,_,100.0,40.330486
_,_,100.0,38.15707
_,_,100.0,37.509666
_,_,100.0,39.895878
_,_,100.0,38.22134
_,_,100.0,39.1455
_,_,100.0,41.71559
_,_,100.0,39.943096
_,_,100.0,38.907654
_,_,100.0,37.810387
_,_,100.0,39.400593
_,_,98.757614,44.622112
_,_,0.0,39.148037
_,_,0.0,38.864902
_,_,49.375145,48.951313
_,_,50.0,44.42001
_,_,50.0,42.61094
_,_,50.0,39.612617
_,_,50.0,38.023643
_,_,50.0,38.2593
_,_,50.0,44.067745
_,_,50.0,45.390144
_,_,50.0,41.144867
_,_,50.0,43.382637
_,_,50.0,41.00558
_,_,50.0,45.587494
_,_,50.0,42.155937
_,_,50.0,46.232094
_,_,50.0,43.7029
_,_,148.75029,56.55588
_,_,150.0,45.29072
_,_,150.0,42.60387
_,_,150.0,42.837765
_,_,150.0,44.92551
_,_,150.0,48.495087
_,_,150.0,42.048965
_,_,150.0,43.95413
_,_,150.0,44.88026
_,_,150.0,41.546776
_,_,100.624855,40.430035
_,_,100.0,43.89368
_,_,100.0,35.264885
_,_,100.0,45.22608
_,_,100.0,44.696304
_,_,100.0,44.55444
_,_,100.0,44.374756
_,_,100.0,44.8661
_,_,100.0,40.63592
_,_,100.0,43.760475
_,_,100.0,48.87382
_,_,100.0,49.103
_,_,99.37881,47.906055
_,_,50.0,44.49951
_,_,50.0,42.94305
_,_,50.0,43.600315
_,_,50.0,42.20461
_,_,50.0,43.95232
_,_,50.0,43.468735
_,_,50.0,37.109005
_,_,50.0,43.24582
_,_,50.0,42.758236
_,_,50.0,42.70051
_,_,50.0,41.83787
_,_,50.0,41.58458
_,_,50.0,47.379894
_,_,50.0,42.130558
_,_,51.24239,39.59378
_,_,150.0,41.595905
_,_,150.0,52.824257
_,_,150.0,46.924316
_,_,150.0,46.293476
_,_,150.0,43.580685
_,_,150.0,44.256016
_,_,150.0,45.028374
_,_,150.0,46.72232
_,_,150.0,46.106915
_,_,149.37881,49.99606
_,_,100.0,43.273357
_,_,100.0,41.104645
_,_,100.0,43.91578
_,_,100.0,47.782497
_,_,100.0,44.84879
_,_,100.0,42.847782
_,_,100.0,45.7088
_,_,100.0,43.9876
_,_,100.0,43.660778
_,_,100.0,45.40902
_,_,100.0,42.0748
_,_,100.0,42.569084
_,_,149.37515,42.666725
_,_,150.0,43.961693
_,_,150.0,46.24291
_,_,150.0,46.52429
_,_,150.0,43.580933
_,_,150.0,40.883938
_,_,150.0,43.716827
_,_,150.0,44.14213
_,_,150.0,44.9557
_,_,150.0,45.708435
_,_,51.24971,36.723835
_,_,50.0,43.350822
_,_,50.0,39.22772
_,_,50.0,43.604652
_,_,50.0,46.501877
_,_,50.0,42.241085
_,_,50.0,40.94289
_,_,50.0,44.702305
_,_,50.0,45.508595
_,_,50.0,44.906536
_,_,50.0,46.282707
_,_,50.0,44.613106
_,_,50.0,42.553387
_,_,50.0,41.120205
_,_,50.0,45.786327
_,_,99.375145,46.825275
_,_,100.0,44.674744
_,_,100.0,43.234413
_,_,100.0,53.770626
_,_,100.0,50.61698
_,_,100.0,44.459557
_,_,100.0,46.801052
_,_,100.0,45.12672
_,_,100.0,44.693516
_,_,100.0,41.85482
_,_,100.0,44.30556
_,_,100.0,43.61558
_,_,98.757614,49.850285
