Mean Score,Test Scores,True Label,Predicted Label
63.532997,63.53606,49.375145,41.86913
_,_,50.0,41.662445
_,_,50.0,41.257122
_,_,50.0,41.336952
_,_,50.0,42.473267
_,_,50.0,40.361706
_,_,50.0,43.10079
_,_,50.0,41.019573
_,_,50.0,40.949673
_,_,50.0,40.880924
_,_,50.0,41.43828
_,_,50.0,40.91758
_,_,50.0,40.602726
_,_,50.0,40.993374
_,_,50.0,42.46026
_,_,148.75029,42.691788
_,_,150.0,43.03029
_,_,150.0,40.440598
_,_,150.0,39.99076
_,_,150.0,41.681343
_,_,150.0,40.307587
_,_,150.0,40.03988
_,_,150.0,40.806194
_,_,150.0,42.91569
_,_,150.0,39.541405
_,_,100.624855,42.567665
_,_,100.0,41.275726
_,_,100.0,39.36333
_,_,100.0,41.285225
_,_,100.0,41.234753
_,_,100.0,42.23948
_,_,100.0,40.481182
_,_,100.0,40.10272
_,_,100.0,41.288086
_,_,100.0,40.164692
_,_,100.0,41.950848
_,_,100.0,39.50448
_,_,99.37881,41.06406
_,_,50.0,42.10394
_,_,50.0,41.9958
_,_,50.0,42.17038
_,_,50.0,40.82901
_,_,50.0,41.1275
_,_,50.0,41.941666
_,_,50.0,42.197243
_,_,50.0,40.920235
_,_,50.0,40.694138
_,_,50.0,41.74102
_,_,50.0,40.902866
_,_,50.0,42.73201
_,_,50.0,39.284184
_,_,50.0,42.929016
_,_,51.24239,42.200626
_,_,150.0,39.476086
_,_,150.0,41.22719
_,_,150.0,40.24149
_,_,150.0,42.059967
_,_,150.0,39.60596
_,_,150.0,42.102478
_,_,150.0,38.25205
_,_,150.0,41.88448
_,_,150.0,40.91476
_,_,149.37881,39.822136
_,_,100.0,42.775745
_,_,100.0,40.340904
_,_,100.0,41.993763
_,_,100.0,37.81024
_,_,100.0,40.550053
_,_,100.0,41.42201
_,_,100.0,40.787262
_,_,100.0,42.437916
_,_,100.0,42.265575
_,_,100.0,41.76393
_,_,100.0,40.769726
_,_,100.0,42.91262
_,_,149.37515,41.007435
_,_,150.0,42.37572
_,_,150.0,42.394028
_,_,150.0,42.312805
_,_,150.0,41.166412
_,_,150.0,40.82397
_,_,150.0,40.802776
_,_,150.0,41.8837
_,_,150.0,39.897747
_,_,150.0,42.466175
_,_,51.24971,42.775806
_,_,50.0,37.04636
_,_,50.0,40.2037
_,_,50.0,40.847324
_,_,50.0,40.457603
_,_,50.0,41.617916
_,_,50.0,41.35588
_,_,50.0,38.771378
_,_,50.0,39.553673
_,_,50.0,40.77437
_,_,50.0,39.803448
_,_,50.0,40.680588
_,_,50.0,41.26944
_,_,50.0,42.63142
_,_,50.0,40.93076
_,_,99.375145,42.49735
_,_,100.0,41.06834
_,_,100.0,42.280563
_,_,100.0,40.43805
_,_,100.0,44.19454
_,_,100.0,39.360435
_,_,100.0,40.29607
_,_,100.0,41.924164
_,_,100.0,41.547153
_,_,100.0,38.19003
_,_,100.0,41.17405
_,_,100.0,40.41195
_,_,98.757614,41.368313
_,_,0.0,42.086815
_,_,0.0,42.965252
_,_,49.375145,43.24989
_,_,50.0,42.216793
_,_,50.0,40.107876
_,_,50.0,43.672817
_,_,50.0,39.523335
_,_,50.0,41.285435
_,_,50.0,43.816486
_,_,50.0,36.922115
_,_,50.0,40.036892
_,_,50.0,39.676056
_,_,50.0,42.69682
_,_,50.0,42.269947
_,_,50.0,42.40361
_,_,50.0,46.747444
_,_,50.0,40.908173
_,_,148.75029,39.233086
_,_,150.0,42.348724
_,_,150.0,41.255604
_,_,150.0,42.738487
_,_,150.0,43.581886
_,_,150.0,39.435184
_,_,150.0,40.49893
_,_,150.0,41.292698
_,_,150.0,42.585274
_,_,150.0,40.826057
_,_,100.624855,41.68792
_,_,100.0,40.4582
_,_,100.0,40.681156
_,_,100.0,40.11812
_,_,100.0,39.723843
_,_,100.0,41.485508
_,_,100.0,42.350872
_,_,100.0,41.511806
_,_,100.0,42.040363
_,_,100.0,42.496445
_,_,100.0,39.998875
_,_,100.0,38.83126
_,_,99.37881,39.37432
_,_,50.0,40.44301
_,_,50.0,40.586876
_,_,50.0,41.099567
_,_,50.0,40.084023
_,_,50.0,41.87358
_,_,50.0,40.97337
_,_,50.0,40.037746
_,_,50.0,41.68188
_,_,50.0,38.56673
_,_,50.0,41.28304
_,_,50.0,40.060883
_,_,50.0,41.956516
_,_,50.0,40.86166
_,_,50.0,41.37284
_,_,51.24239,40.8026
_,_,150.0,40.630714
_,_,150.0,38.038376
_,_,150.0,42.371307
_,_,150.0,39.933872
_,_,150.0,43.76543
_,_,150.0,40.738018
_,_,150.0,39.933624
_,_,150.0,42.14556
_,_,150.0,40.28136
_,_,149.37881,41.707787
_,_,100.0,41.787838
_,_,100.0,41.6757
_,_,100.0,38.659454
_,_,100.0,40.5219
_,_,100.0,42.086704
_,_,100.0,40.982666
_,_,100.0,40.976814
_,_,100.0,39.735184
_,_,100.0,40.873657
_,_,100.0,40.229683
_,_,100.0,40.714287
_,_,100.0,41.515186
_,_,149.37515,40.47971
_,_,150.0,40.419094
_,_,150.0,39.83127
_,_,150.0,39.84073
_,_,150.0,43.005978
_,_,150.0,39.38047
_,_,150.0,41.010868
_,_,150.0,39.270992
_,_,150.0,41.6044
_,_,51.24971,41.639603
_,_,50.0,40.974453
_,_,50.0,41.14714
_,_,50.0,43.046597
_,_,50.0,42.277107
_,_,50.0,41.408432
_,_,50.0,40.67261
_,_,50.0,40.65275
_,_,50.0,40.23305
_,_,50.0,39.94324
_,_,50.0,40.783463
_,_,50.0,41.113403
_,_,50.0,40.276844
_,_,50.0,39.107178
_,_,50.0,39.343964
_,_,99.375145,39.86256
_,_,100.0,40.347397
_,_,100.0,39.598175
_,_,100.0,39.4932
_,_,100.0,41.868813
_,_,100.0,40.985
_,_,100.0,41.762463
_,_,100.0,42.545918
_,_,100.0,41.340965
_,_,100.0,40.167755
_,_,100.0,40.039078
_,_,100.0,40.141914
_,_,98.757614,40.108818
_,_,0.0,40.41926
_,_,0.0,41.693783
_,_,49.375145,45.668808
_,_,50.0,43.05424
_,_,50.0,42.770096
_,_,50.0,42.354145
_,_,50.0,43.371597
_,_,50.0,43.989418
_,_,50.0,43.842648
_,_,50.0,43.310463
_,_,50.0,43.68116
_,_,50.0,45.336624
_,_,50.0,42.25678
_,_,50.0,45.161777
_,_,50.0,43.623966
_,_,50.0,44.703743
_,_,50.0,43.893013
_,_,148.75029,45.661613
_,_,150.0,42.43613
_,_,150.0,43.4414
_,_,150.0,42.536972
_,_,150.0,45.17192
_,_,150.0,47.905437
_,_,150.0,45.293938
_,_,150.0,42.129646
_,_,150.0,44.29377
_,_,150.0,43.430763
_,_,100.624855,43.20954
_,_,100.0,44.028084
_,_,100.0,43.99077
_,_,100.0,43.973812
_,_,100.0,44.995598
_,_,100.0,46.17354
_,_,100.0,45.679398
_,_,100.0,43.60743
_,_,100.0,42.872955
_,_,100.0,45.44902
_,_,100.0,45.73045
_,_,100.0,44.631916
_,_,99.37881,43.999935
_,_,50.0,44.014378
_,_,50.0,43.10874
_,_,50.0,45.336834
_,_,50.0,42.72568
_,_,50.0,45.468147
_,_,50.0,44.79796
_,_,50.0,43.988106
_,_,50.0,45.067116
_,_,50.0,43.326275
_,_,50.0,45.461
_,_,50.0,43.417
_,_,50.0,45.25555
_,_,50.0,45.21631
_,_,50.0,43.136417
_,_,51.24239,46.69864
_,_,150.0,41.912567
_,_,150.0,46.063087
_,_,150.0,46.642628
_,_,150.0,44.696804
_,_,150.0,44.677536
_,_,150.0,44.640728
_,_,150.0,44.022514
_,_,150.0,45.27348
_,_,150.0,47.079185
_,_,149.37881,44.11295
_,_,100.0,45.685127
_,_,100.0,43.479843
_,_,100.0,47.127342
_,_,100.0,46.998722
_,_,100.0,45.012344
_,_,100.0,44.74305
_,_,100.0,42.503036
_,_,100.0,45.08936
_,_,100.0,42.66202
_,_,100.0,45.21353
_,_,100.0,43.12138
_,_,100.0,44.271446
_,_,149.37515,42.98575
_,_,150.0,43.430096
_,_,150.0,44.60478
_,_,150.0,44.113766
_,_,150.0,44.711548
_,_,150.0,41.243454
_,_,150.0,44.001656
_,_,150.0,42.131584
_,_,150.0,45.528175
_,_,150.0,45.131523
_,_,51.24971,43.247585
_,_,50.0,43.197136
_,_,50.0,43.400826
_,_,50.0,44.63403
_,_,50.0,45.76999
_,_,50.0,44.5218
_,_,50.0,44.095715
_,_,50.0,44.96814
_,_,50.0,45.459965
_,_,50.0,43.24088
_,_,50.0,44.209175
_,_,50.0,44.327694
_,_,50.0,43.536522
_,_,50.0,43.039875
_,_,50.0,46.55387
_,_,99.375145,43.059296
_,_,100.0,45.40994
_,_,100.0,41.852146
_,_,100.0,44.572918
_,_,100.0,44.296524
_,_,100.0,43.76275
_,_,100.0,45.743526
_,_,100.0,45.205734
_,_,100.0,44.05379
_,_,100.0,44.13617
_,_,100.0,46.23731
_,_,100.0,44.26658
_,_,98.757614,43.71658
_,_,0.0,44.50937
_,_,0.0,45.69388
_,_,49.375145,44.547718
_,_,50.0,43.068195
_,_,50.0,44.177944
_,_,50.0,44.512104
_,_,50.0,42.849506
_,_,50.0,43.642593
_,_,50.0,44.474354
_,_,50.0,43.067257
_,_,50.0,44.565525
_,_,50.0,45.485046
_,_,50.0,46.360657
_,_,50.0,42.76669
_,_,50.0,44.603943
_,_,50.0,42.638805
_,_,50.0,43.74116
_,_,150.0,44.595978
_,_,150.0,44.806416
_,_,150.0,44.048397
_,_,150.0,44.678562
_,_,150.0,45.992718
_,_,150.0,44.10674
_,_,150.0,44.778427
_,_,150.0,44.864483
_,_,150.0,43.550125
_,_,100.624855,45.434647
_,_,100.0,44.084908
_,_,100.0,43.829533
_,_,100.0,43.64183
_,_,100.0,44.080914
_,_,100.0,44.965828
_,_,100.0,46.273407
_,_,100.0,43.550995
_,_,100.0,45.79603
_,_,100.0,45.410248
_,_,100.0,45.57603
_,_,100.0,43.561184
_,_,99.37881,44.174934
_,_,50.0,43.592617
_,_,50.0,43.421158
_,_,50.0,43.094387
_,_,50.0,44.58334
_,_,50.0,43.777054
_,_,50.0,44.59236
_,_,50.0,44.147285
_,_,50.0,43.200832
_,_,50.0,45.328575
_,_,50.0,44.69553
_,_,50.0,44.149963
_,_,50.0,45.152264
_,_,50.0,44.451405
_,_,50.0,44.779984
_,_,51.24239,44.423824
_,_,150.0,43.93275
_,_,150.0,43.30899
_,_,150.0,44.63122
_,_,150.0,43.134552
_,_,150.0,44.371273
_,_,150.0,44.641792
_,_,150.0,44.65227
_,_,150.0,43.471905
_,_,150.0,46.843296
_,_,149.37881,42.394543
_,_,100.0,44.29501
_,_,100.0,46.096813
_,_,100.0,45.862053
_,_,100.0,43.8833
