Mean Score,Participant Scores,True Label,Predicted Label
98.34601,98.4828,49.375145,2.2481048
_,98.83156,50.0,1.7610455
_,99.047104,50.0,1.7161142
_,100.44315,50.0,1.7309043
_,99.43715,50.0,1.7881604
_,95.02267,50.0,1.8134836
_,99.03568,50.0,1.6516291
_,94.36333,50.0,2.19107
_,96.983505,50.0,1.745768
_,96.834915,50.0,2.3026545
_,99.02431,50.0,1.5283126
_,98.71265,50.0,2.6749175
_,98.837776,50.0,1.4881872
_,99.05291,50.0,1.8177227
_,97.70688,50.0,2.1609998
_,99.10187,148.75029,1.8940306
_,100.64758,150.0,2.2489693
_,97.84477,150.0,2.27056
_,98.18652,150.0,2.3592386
_,96.65678,150.0,2.2908635
_,99.188034,150.0,1.9570326
_,97.5757,150.0,2.1424198
_,99.295975,150.0,1.7686527
_,99.63227,150.0,1.6312361
_,99.36781,150.0,2.1754005
_,98.82465,100.624855,1.5545534
_,98.05455,100.0,2.3833294
_,97.65633,100.0,1.4173076
_,98.72029,100.0,1.4891775
_,98.85536,100.0,1.7228422
_,99.34311,100.0,2.4360957
_,99.084305,100.0,2.2126153
_,99.57687,100.0,1.2622268
_,97.13796,100.0,1.6042322
_,94.89818,100.0,1.8847009
_,98.50032,100.0,2.250224
_,95.82927,100.0,1.7708434
_,101.13008,99.37881,1.7651957
_,98.76586,50.0,1.3054643
_,98.14958,50.0,2.2741213
_,_,50.0,1.4826272
_,_,50.0,2.2794085
_,_,50.0,1.3980652
_,_,50.0,1.3936437
_,_,50.0,1.531652
_,_,50.0,1.8202381
_,_,50.0,2.2007468
_,_,50.0,1.2914104
_,_,50.0,2.173009
_,_,50.0,1.8320744
_,_,50.0,1.9266369
_,_,50.0,1.9254048
_,_,51.24239,1.288816
_,_,150.0,1.4021813
_,_,150.0,2.0937479
_,_,150.0,1.9929305
_,_,150.0,1.8243535
_,_,150.0,2.3567996
_,_,150.0,1.5789042
_,_,150.0,2.2939134
_,_,150.0,1.3415569
_,_,150.0,2.214425
_,_,149.37881,2.0133314
_,_,100.0,2.269569
_,_,100.0,1.8866383
_,_,100.0,2.0029392
_,_,100.0,2.0502462
_,_,100.0,1.4078538
_,_,100.0,1.342169
_,_,100.0,1.9467618
_,_,100.0,2.077501
_,_,100.0,1.9890363
_,_,100.0,1.9117519
_,_,100.0,0.7396776
_,_,100.0,1.6384124
_,_,149.37515,2.2712908
_,_,150.0,1.8422755
_,_,150.0,1.9919832
_,_,150.0,2.0941246
_,_,150.0,1.6433896
_,_,150.0,1.7888542
_,_,150.0,1.3241364
_,_,150.0,2.3742578
_,_,150.0,1.4522079
_,_,150.0,1.9034389
_,_,51.24971,1.7674292
_,_,50.0,2.262684
_,_,50.0,2.2492142
_,_,50.0,1.7302749
_,_,50.0,1.5349928
_,_,50.0,1.979759
_,_,50.0,1.85432
_,_,50.0,2.1485152
_,_,50.0,1.5929292
_,_,50.0,2.0529444
_,_,50.0,2.8795862
_,_,50.0,2.2717133
_,_,50.0,1.9800829
_,_,50.0,1.4192201
_,_,50.0,2.4433682
_,_,99.375145,1.8735473
_,_,100.0,2.055172
_,_,100.0,2.0909657
_,_,100.0,2.1051555
_,_,100.0,2.0895393
_,_,100.0,1.7523527
_,_,100.0,2.1807075
_,_,100.0,2.0781794
_,_,100.0,1.9890587
_,_,100.0,1.7819222
_,_,100.0,1.3865304
_,_,100.0,1.9502897
_,_,98.757614,1.8642339
_,_,0.0,1.3704463
_,_,0.0,2.0164077
_,_,49.375145,2.445817
_,_,50.0,2.0267208
_,_,50.0,1.3750938
_,_,50.0,1.4772047
_,_,50.0,2.036252
_,_,50.0,1.0955746
_,_,50.0,2.088072
_,_,50.0,2.23569
_,_,50.0,1.8711188
_,_,50.0,1.6196512
_,_,50.0,1.9672527
_,_,50.0,2.2062864
_,_,50.0,1.51046
_,_,50.0,1.9970385
_,_,50.0,2.6866899
_,_,148.75029,2.4757235
_,_,150.0,2.846486
_,_,150.0,1.8641617
_,_,150.0,1.7452497
_,_,150.0,2.021081
_,_,150.0,2.0565875
_,_,150.0,2.3649874
_,_,150.0,2.0341966
_,_,150.0,2.6043575
_,_,150.0,2.081548
_,_,100.624855,2.1970947
_,_,100.0,1.8975856
_,_,100.0,1.9515274
_,_,100.0,1.3873255
_,_,100.0,1.7185502
_,_,100.0,2.3045332
_,_,100.0,2.1939845
_,_,100.0,1.6270082
_,_,100.0,1.6397994
_,_,100.0,2.1541882
_,_,100.0,1.9612602
_,_,100.0,2.047093
_,_,99.37881,1.8520169
_,_,50.0,1.8404264
_,_,50.0,2.2715628
_,_,50.0,1.8780993
_,_,50.0,2.0783672
_,_,50.0,2.0423255
_,_,50.0,1.7476404
_,_,50.0,1.6132598
_,_,50.0,1.7266743
