Mean Score,Participant Scores,True Label,Predicted Label
100.84038,101.16381,49.375145,-1.3285402
_,101.16987,50.0,-0.90781796
_,101.82008,50.0,-0.8150559
_,102.79246,50.0,-0.85725844
_,102.07327,50.0,-1.0642965
_,97.43083,50.0,-0.9858284
_,101.58379,50.0,-1.18626
_,96.628365,50.0,-0.9299417
_,99.23728,50.0,-1.0345215
_,99.056946,50.0,-0.98415
_,101.34262,50.0,-1.1474124
_,101.43654,50.0,-0.97812706
_,101.2513,50.0,-0.89770865
_,101.62108,50.0,-1.0318156
_,100.13516,50.0,-0.8968701
_,101.58144,148.75029,-1.0749211
_,102.996414,150.0,-0.9018052
_,100.39659,150.0,-1.0595807
_,100.82893,150.0,-0.8281742
_,99.11166,150.0,-0.89429915
_,102.05876,150.0,-0.9755619
_,99.90163,150.0,-1.1308573
_,101.95952,150.0,-0.97637624
_,102.253136,150.0,-0.7624403
_,101.74723,150.0,-0.9715468
_,101.4252,100.624855,-1.0953087
_,100.381905,100.0,-1.1574519
_,99.90594,100.0,-0.97684103
_,101.45469,100.0,-1.2200631
_,101.37709,100.0,-0.72073585
_,102.04388,100.0,-1.0593026
_,101.82068,100.0,-0.61540323
_,101.93158,100.0,-0.5304593
_,99.76948,100.0,-0.8162038
_,97.3363,100.0,-0.91459733
_,101.15067,100.0,-1.1303111
_,98.012985,100.0,-1.0104688
_,103.55675,99.37881,-0.8263834
_,101.36887,50.0,-1.0240842
_,100.50027,50.0,-1.0377644
_,_,50.0,-0.8805304
_,_,50.0,-0.80977535
_,_,50.0,-1.3932387
_,_,50.0,-1.254056
_,_,50.0,-1.0846714
_,_,50.0,-1.0482559
_,_,50.0,-1.1521713
_,_,50.0,-1.0632604
_,_,50.0,-0.98316944
_,_,50.0,-1.1647608
_,_,50.0,-0.8904076
_,_,50.0,-1.1589128
_,_,51.24239,-0.8027608
_,_,150.0,-1.1125242
_,_,150.0,-1.1886736
_,_,150.0,-1.4598727
_,_,150.0,-0.94994926
_,_,150.0,-1.1670989
_,_,150.0,-0.8275108
_,_,150.0,-1.0508127
_,_,150.0,-1.3020796
_,_,150.0,-1.0174485
_,_,149.37881,-1.1454278
_,_,100.0,-0.86919415
_,_,100.0,-1.0516423
_,_,100.0,-1.1952517
_,_,100.0,-1.1839855
_,_,100.0,-0.90439236
_,_,100.0,-1.344686
_,_,100.0,-0.82565117
_,_,100.0,-1.2039887
_,_,100.0,-0.91332436
_,_,100.0,-1.2196496
_,_,100.0,-0.7531831
_,_,100.0,-1.0694834
_,_,149.37515,-0.9409604
_,_,150.0,-0.69380397
_,_,150.0,-0.7229526
_,_,150.0,-0.97027385
