Mean Score,Participant Scores,True Label,Predicted Label
0.5392718023997386,0.39420760399021276,2,2
_,0.42556935817805386,2,2
_,0.4805524185958969,2,0
_,0.42424164000250963,2,0
_,0.4387987012987013,2,0
_,0.6735449735449734,2,2
_,0.5153138528138528,2,0
_,0.606475468975469,2,2
_,0.5685330008156095,2,2
_,0.5362733426704015,2,0
_,0.4687049062049063,2,2
_,0.5729249011857707,2,0
_,0.5720849802371542,2,2
_,0.48773448773448785,2,2
_,0.4345598845598846,2,2
_,0.5162265512265513,2,0
_,0.4859098727210182,2,2
_,0.4637950937950938,2,2
_,0.469927536231884,2,2
_,0.5308523760381345,2,1
_,0.6587544701675137,2,1
_,0.6544772917141337,2,2
_,0.49242549720810586,2,2
_,0.5578392621870882,2,2
_,0.740079365079365,2,2
_,0.4577380952380953,2,0
_,0.4733483907396951,2,0
_,0.5121867167919799,2,2
_,0.5052630340673818,2,2
_,0.4813116123642439,2,2
_,0.5349849425936383,2,2
_,0.6541972520233389,2,0
_,0.7458369408369409,2,0
_,0.4888783846872082,2,0
_,0.6214386344649502,2,2
_,0.44301948051948054,2,0
_,0.5331349206349205,2,0
_,0.5806896605809648,2,2
_,0.698724825898739,2,0
_,0.6703123673711908,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
