Mean Score,Participant Scores,True Label,Predicted Label
0.5185363029937375,0.40727696216826653,2,2
_,0.4449651797477884,2,2
_,0.5012657632222849,2,0
_,0.4270586297760211,2,2
_,0.4238189346884999,2,0
_,0.6891534391534392,2,0
_,0.47911255411255416,2,0
_,0.6687698412698413,2,0
_,0.4748905201079114,2,0
_,0.4717518674136321,2,2
_,0.47227633477633474,2,0
_,0.5399891774891775,2,0
_,0.5916549030679465,2,1
_,0.46724386724386724,2,2
_,0.440007215007215,2,1
_,0.49613997113997116,2,2
_,0.4697769751175323,2,0
_,0.45489177489177485,2,2
_,0.46359401468097117,2,2
_,0.44219519386702044,2,1
_,0.6757528703180877,2,0
_,0.6001856915014809,2,2
_,0.44918799799234577,2,0
_,0.5741977225672877,2,0
_,0.6956854256854257,2,2
_,0.3977633477633478,2,2
_,0.417967720685112,2,2
_,0.46324555074555074,2,0
_,0.505959439111613,2,0
_,0.4435213032581453,2,2
_,0.4983578016186712,2,2
_,0.5617800677583287,2,0
_,0.7595887445887446,2,0
_,0.3973716153127918,2,2
_,0.6256064403432825,2,2
_,0.42524468285337846,2,0
_,0.48226190476190467,2,0
_,0.5506320973712279,2,2
_,0.7410949557688689,2,0
_,0.6502136208018562,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,1
_,_,1,1
_,_,1,1
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,1
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,1
_,_,1,1
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,1
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,1
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,0
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,2
_,_,0,2
_,_,0,2
_,_,0,1
_,_,0,1
_,_,0,0
_,_,0,0
_,_,0,0
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,1
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,1
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,2
_,_,1,2
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,1
_,_,1,1
_,_,1,0
_,_,1,2
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,1
_,_,1,0
_,_,1,0
_,_,1,1
_,_,1,0
_,_,1,0
_,_,1,2
_,_,1,0
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,0
_,_,2,0
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,2
_,_,2,1
_,_,2,2
_,_,2,2
