Mean Score,Test Scores,True Label,Predicted Label
69.59762,76.54682,49.375145,114.90163
_,_,50.0,122.31188
_,_,50.0,98.56954
_,_,50.0,77.20645
_,_,50.0,97.34316
_,_,50.0,104.26326
_,_,50.0,97.93831
_,_,50.0,76.7731
_,_,50.0,89.66905
_,_,50.0,103.102005
_,_,50.0,90.325195
_,_,50.0,97.735344
_,_,50.0,81.033745
_,_,50.0,110.10818
_,_,50.0,109.87856
_,_,148.75029,90.27455
_,_,150.0,94.90634
_,_,150.0,102.94844
_,_,150.0,106.57567
_,_,150.0,77.26491
_,_,150.0,90.87885
_,_,150.0,75.97779
_,_,150.0,90.17517
_,_,150.0,81.35369
_,_,150.0,91.46235
_,_,100.624855,89.997025
_,_,100.0,86.14594
_,_,100.0,92.171974
_,_,100.0,124.74413
_,_,100.0,75.21831
_,_,100.0,101.76093
_,_,100.0,76.48149
_,_,100.0,102.01857
_,_,100.0,115.581474
_,_,100.0,72.96021
_,_,100.0,96.92282
_,_,100.0,99.61868
_,_,99.37881,107.724014
_,_,50.0,99.99342
_,_,50.0,98.39124
_,_,50.0,74.04051
_,_,50.0,80.51917
_,_,50.0,104.42168
_,_,50.0,99.01639
_,_,50.0,88.17293
_,_,50.0,81.487
_,_,50.0,97.925644
_,_,50.0,113.58608
_,_,50.0,82.83985
_,_,50.0,76.44151
_,_,50.0,66.87365
_,_,50.0,96.72464
_,_,51.24239,100.66422
_,_,150.0,91.27713
_,_,150.0,84.087
_,_,150.0,109.283905
_,_,150.0,90.5671
_,_,150.0,86.834236
_,_,150.0,88.84354
_,_,150.0,94.81808
_,_,150.0,80.97934
_,_,150.0,107.039734
_,_,149.37881,104.39092
_,_,100.0,91.223755
_,_,100.0,82.224236
_,_,100.0,76.26503
_,_,100.0,96.30815
_,_,100.0,83.86973
_,_,100.0,113.07082
_,_,100.0,115.89747
_,_,100.0,91.97793
_,_,100.0,106.87057
_,_,100.0,109.93078
_,_,100.0,76.88195
_,_,100.0,108.30975
_,_,149.37515,92.83159
_,_,150.0,77.081154
_,_,150.0,93.91871
_,_,150.0,93.27755
_,_,150.0,101.66267
_,_,150.0,93.90599
_,_,150.0,91.2445
_,_,150.0,62.468357
_,_,150.0,97.855705
_,_,150.0,94.00829
_,_,51.24971,97.20506
_,_,50.0,82.226395
_,_,50.0,78.48687
_,_,50.0,87.78508
_,_,50.0,86.8916
_,_,50.0,83.37118
_,_,50.0,81.38719
_,_,50.0,105.05464
_,_,50.0,71.853134
_,_,50.0,79.607254
_,_,50.0,103.080086
_,_,50.0,88.111046
_,_,50.0,81.293915
_,_,50.0,69.225685
_,_,50.0,77.075485
_,_,99.375145,84.80519
_,_,100.0,102.96827
_,_,100.0,100.35371
_,_,100.0,93.19018
_,_,100.0,83.85368
_,_,100.0,79.85949
_,_,100.0,100.141594
_,_,100.0,92.10958
_,_,100.0,94.601746
_,_,100.0,86.606926
_,_,100.0,95.05128
_,_,100.0,92.51248
_,_,98.757614,106.32374
_,_,0.0,99.956245
_,_,0.0,82.40069
_,_,49.375145,110.426605
_,_,50.0,91.25141
_,_,50.0,92.76731
_,_,50.0,108.33248
_,_,50.0,95.59147
_,_,50.0,74.99759
_,_,50.0,88.98631
_,_,50.0,86.24831
_,_,50.0,104.61832
_,_,50.0,109.24009
_,_,50.0,87.08513
_,_,50.0,107.316185
_,_,50.0,98.03635
_,_,50.0,101.22467
_,_,50.0,72.118515
_,_,148.75029,99.31917
_,_,150.0,90.7318
_,_,150.0,82.40846
_,_,150.0,94.52374
_,_,150.0,94.547134
_,_,150.0,77.56008
_,_,150.0,95.218735
_,_,150.0,90.35681
_,_,150.0,95.498634
_,_,150.0,95.48724
_,_,100.624855,71.35345
_,_,100.0,91.571594
_,_,100.0,91.93503
_,_,100.0,106.59193
_,_,100.0,119.28543
_,_,100.0,95.402145
_,_,100.0,99.58588
_,_,100.0,97.80289
_,_,100.0,94.8053
_,_,100.0,106.3585
_,_,100.0,94.64871
_,_,100.0,73.40633
_,_,99.37881,112.7234
_,_,50.0,103.60661
_,_,50.0,98.04639
_,_,50.0,98.94391
_,_,50.0,108.97767
_,_,50.0,92.78255
_,_,50.0,80.30787
_,_,50.0,105.78207
_,_,50.0,97.85373
_,_,50.0,86.87455
_,_,50.0,88.648315
_,_,50.0,90.585724
_,_,50.0,94.73306
_,_,50.0,73.90216
_,_,50.0,110.963394
_,_,51.24239,94.6834
_,_,150.0,94.39979
_,_,150.0,102.39511
_,_,150.0,112.850266
_,_,150.0,111.41749
_,_,150.0,101.45374
_,_,150.0,86.82278
_,_,150.0,97.6824
_,_,150.0,83.94598
_,_,150.0,78.60157
_,_,149.37881,98.79766
_,_,100.0,97.88196
_,_,100.0,74.82577
_,_,100.0,89.663025
_,_,100.0,82.072685
_,_,100.0,96.81177
_,_,100.0,80.13288
_,_,100.0,96.52305
_,_,100.0,102.65373
_,_,100.0,92.93033
_,_,100.0,93.748
_,_,100.0,92.54657
_,_,100.0,87.77895
_,_,149.37515,85.96405
_,_,150.0,92.50016
_,_,150.0,105.92983
_,_,150.0,89.35415
_,_,150.0,86.73296
_,_,150.0,85.525764
_,_,150.0,102.83929
_,_,150.0,79.96023
_,_,150.0,94.26195
_,_,51.24971,70.08987
_,_,50.0,91.08198
_,_,50.0,113.71607
_,_,50.0,91.521835
_,_,50.0,78.67681
_,_,50.0,84.20942
_,_,50.0,80.32286
_,_,50.0,106.53915
_,_,50.0,83.610794
_,_,50.0,89.8238
_,_,50.0,105.47396
_,_,50.0,96.41204
_,_,50.0,104.81914
_,_,50.0,81.58243
_,_,50.0,105.39035
_,_,99.375145,109.036674
_,_,100.0,94.3593
_,_,100.0,95.46637
_,_,100.0,94.380714
_,_,100.0,89.86196
_,_,100.0,92.58022
_,_,100.0,99.168564
_,_,100.0,94.89498
_,_,100.0,108.93157
_,_,100.0,97.22618
_,_,100.0,86.53155
_,_,100.0,108.12226
_,_,98.757614,101.40087
_,_,0.0,98.6885
