Mean Score,Test Scores,True Label,Predicted Label
42.69978,42.7015,49.375145,97.80463
_,_,50.0,100.00705
_,_,50.0,90.79501
_,_,50.0,83.59761
_,_,50.0,88.788414
_,_,50.0,100.41663
_,_,50.0,99.336494
_,_,50.0,72.72046
_,_,50.0,89.93978
_,_,50.0,84.238785
_,_,50.0,87.697754
_,_,50.0,87.38358
_,_,50.0,83.85477
_,_,50.0,101.19259
_,_,50.0,87.76802
_,_,148.75029,74.994484
_,_,150.0,78.38775
_,_,150.0,83.52553
_,_,150.0,95.47608
_,_,150.0,81.29114
_,_,150.0,92.723526
_,_,150.0,95.966064
_,_,150.0,80.84732
_,_,150.0,77.26496
_,_,150.0,91.25911
_,_,100.624855,93.78938
_,_,100.0,96.16708
_,_,100.0,100.2154
_,_,100.0,115.923874
_,_,100.0,84.30437
_,_,100.0,75.90062
_,_,100.0,87.52258
_,_,100.0,87.096436
_,_,100.0,111.06617
_,_,100.0,86.54151
_,_,100.0,89.48713
_,_,100.0,93.46954
_,_,99.37881,91.05978
_,_,50.0,107.563095
_,_,50.0,90.65519
_,_,50.0,91.94653
_,_,50.0,89.094604
_,_,50.0,106.472176
_,_,50.0,111.58519
_,_,50.0,89.61583
_,_,50.0,80.83087
_,_,50.0,105.25355
_,_,50.0,106.022156
_,_,50.0,86.0868
_,_,50.0,82.8323
_,_,50.0,64.40374
_,_,50.0,84.20293
_,_,51.24239,87.84669
_,_,150.0,86.03513
_,_,150.0,90.71218
_,_,150.0,90.60987
_,_,150.0,90.00681
_,_,150.0,81.30955
_,_,150.0,82.39786
_,_,150.0,90.80087
_,_,150.0,84.731964
_,_,150.0,97.79113
_,_,149.37881,104.22189
_,_,100.0,76.98794
_,_,100.0,90.706665
_,_,100.0,66.50606
_,_,100.0,103.97044
_,_,100.0,88.37802
_,_,100.0,113.57467
_,_,100.0,104.239876
_,_,100.0,92.29783
_,_,100.0,105.967545
_,_,100.0,87.564186
_,_,100.0,75.24228
_,_,100.0,100.15568
_,_,149.37515,95.76087
_,_,150.0,77.5033
_,_,150.0,69.61863
_,_,150.0,86.066666
_,_,150.0,97.919846
_,_,150.0,101.6425
_,_,150.0,101.14954
_,_,150.0,99.51057
_,_,150.0,89.7742
_,_,150.0,91.876976
_,_,51.24971,98.37855
_,_,50.0,91.46951
_,_,50.0,81.780716
_,_,50.0,94.94168
_,_,50.0,105.731285
_,_,50.0,88.576355
_,_,50.0,86.17592
_,_,50.0,96.8095
_,_,50.0,75.76031
_,_,50.0,79.20602
_,_,50.0,89.47164
_,_,50.0,90.23954
