Mean Score,Participant Scores,True Label,Predicted Label
45.619774,47.390858,49.375145,64.5567
_,45.529686,50.0,39.803856
_,47.92476,50.0,84.14858
_,45.76612,50.0,37.162483
_,45.008873,50.0,108.908195
_,44.993744,50.0,83.36767
_,47.31975,50.0,102.60263
_,47.126637,50.0,70.9883
_,45.575493,50.0,122.42768
_,45.450417,50.0,71.721054
_,47.612907,50.0,62.034775
_,45.32093,50.0,64.06008
_,47.406387,50.0,65.52117
_,45.621082,50.0,115.566124
_,43.647907,50.0,104.34836
_,46.902004,148.75029,36.36684
_,42.1307,150.0,50.841778
_,48.28224,150.0,74.12421
_,46.641644,150.0,86.00903
_,46.575027,150.0,77.75766
_,45.02881,150.0,84.10872
_,45.7538,150.0,79.34325
_,44.840008,150.0,76.031654
_,45.771008,150.0,95.8014
_,46.886734,150.0,81.57109
_,44.057686,100.624855,97.80872
_,45.789364,100.0,80.07809
_,45.073204,100.0,108.12759
_,40.11869,100.0,107.9189
_,45.1429,100.0,79.49588
_,46.05958,100.0,72.234344
_,42.26513,100.0,70.75231
_,47.077354,100.0,82.191376
_,41.885937,100.0,127.35427
_,43.985977,100.0,63.322792
_,47.10684,100.0,77.48941
_,45.745823,100.0,94.89886
_,45.791897,99.37881,57.3733
_,47.04635,50.0,115.814156
_,47.136627,50.0,64.24867
_,_,50.0,66.013054
_,_,50.0,104.68828
_,_,50.0,125.98877
_,_,50.0,83.78774
_,_,50.0,81.26775
_,_,50.0,72.36352
_,_,50.0,96.558876
_,_,50.0,72.37891
_,_,50.0,119.4859
_,_,50.0,108.161606
_,_,50.0,65.1802
_,_,50.0,92.02385
_,_,51.24239,73.71144
_,_,150.0,64.29453
_,_,150.0,73.65916
_,_,150.0,78.558556
_,_,150.0,81.96926
_,_,150.0,80.897995
_,_,150.0,65.83529
_,_,150.0,53.983383
_,_,150.0,55.61012
_,_,150.0,73.36709
_,_,149.37881,76.75479
_,_,100.0,35.74604
_,_,100.0,70.67995
_,_,100.0,68.59686
_,_,100.0,105.075676
_,_,100.0,74.68337
_,_,100.0,108.39719
_,_,100.0,99.88483
_,_,100.0,120.18421
_,_,100.0,101.92583
_,_,100.0,77.35919
_,_,100.0,85.250336
_,_,100.0,93.959854
_,_,149.37515,85.145996
_,_,150.0,57.190243
_,_,150.0,47.02538
_,_,150.0,61.285378
_,_,150.0,84.236694
_,_,150.0,102.134834
_,_,150.0,101.20703
_,_,150.0,86.22618
_,_,150.0,103.738976
_,_,150.0,57.46019
_,_,51.24971,87.006355
_,_,50.0,85.57436
_,_,50.0,117.483116
_,_,50.0,64.475
_,_,50.0,74.21813
_,_,50.0,103.19651
_,_,50.0,116.55772
_,_,50.0,85.55819
_,_,50.0,79.92057
_,_,50.0,65.300575
_,_,50.0,100.35218
_,_,50.0,108.34641
_,_,50.0,56.716248
_,_,50.0,71.02859
_,_,50.0,101.17854
_,_,99.375145,98.316
_,_,100.0,131.50006
_,_,100.0,110.755554
_,_,100.0,77.13327
_,_,100.0,126.472984
_,_,100.0,97.39585
_,_,100.0,92.50411
_,_,100.0,84.64236
_,_,100.0,93.65733
_,_,100.0,85.661224
_,_,100.0,113.08891
_,_,100.0,19.489758
_,_,98.757614,90.145615
_,_,0.0,98.55762
_,_,0.0,41.96233
_,_,49.375145,88.05385
_,_,50.0,46.84023
_,_,50.0,80.87746
_,_,50.0,50.626778
_,_,50.0,72.54176
_,_,50.0,65.1484
_,_,50.0,79.61535
_,_,50.0,78.93704
_,_,50.0,73.78941
_,_,50.0,106.57631
_,_,50.0,63.728046
_,_,50.0,93.896996
_,_,50.0,77.201324
_,_,50.0,91.56085
_,_,50.0,60.00388
_,_,148.75029,55.564434
_,_,150.0,59.292416
_,_,150.0,75.16991
_,_,150.0,69.490845
_,_,150.0,96.64912
_,_,150.0,106.689186
_,_,150.0,67.30461
_,_,150.0,86.10794
_,_,150.0,105.58199
_,_,150.0,67.1871
_,_,100.624855,82.14876
_,_,100.0,74.83772
_,_,100.0,77.95877
_,_,100.0,148.42206
_,_,100.0,109.3804
_,_,100.0,113.05502
_,_,100.0,121.047554
_,_,100.0,94.7031
_,_,100.0,93.625175
_,_,100.0,97.913246
_,_,100.0,131.65811
_,_,100.0,84.03505
_,_,99.37881,86.99282
_,_,50.0,119.43583
_,_,50.0,119.8539
_,_,50.0,75.05322
_,_,50.0,126.25899
_,_,50.0,106.02233
_,_,50.0,77.18182
_,_,50.0,84.64553
_,_,50.0,83.32841
_,_,50.0,82.25681
_,_,50.0,106.450066
_,_,50.0,74.47011
_,_,50.0,117.89213
_,_,50.0,109.02311
_,_,50.0,118.4392
_,_,51.24239,118.1215
_,_,150.0,114.44334
_,_,150.0,115.892944
_,_,150.0,89.13934
_,_,150.0,98.85527
_,_,150.0,114.33665
_,_,150.0,93.34991
_,_,150.0,119.86918
_,_,150.0,109.939384
_,_,150.0,105.26793
_,_,149.37881,80.377594
_,_,100.0,77.21323
_,_,100.0,91.98584
_,_,100.0,96.96683
_,_,100.0,124.15249
_,_,100.0,99.305756
_,_,100.0,96.07571
_,_,100.0,114.68731
_,_,100.0,91.08593
_,_,100.0,59.031452
_,_,100.0,83.89591
_,_,100.0,86.038765
_,_,100.0,106.03124
_,_,149.37515,63.509457
_,_,150.0,120.97686
_,_,150.0,98.75052
_,_,150.0,87.08255
_,_,150.0,118.677216
_,_,150.0,90.6668
_,_,150.0,137.88222
_,_,150.0,76.746475
_,_,150.0,111.69991
_,_,51.24971,79.3146
_,_,50.0,60.886597
_,_,50.0,124.92197
_,_,50.0,64.76515
_,_,50.0,114.90356
_,_,50.0,40.147293
_,_,50.0,66.44234
_,_,50.0,68.56914
_,_,50.0,105.83199
_,_,50.0,104.40209
_,_,50.0,92.26227
_,_,50.0,81.967606
_,_,50.0,79.557076
_,_,50.0,81.04109
_,_,50.0,100.30192
_,_,99.375145,65.84872
_,_,100.0,103.96883
_,_,100.0,92.5794
_,_,100.0,89.09893
_,_,100.0,103.045944
_,_,100.0,88.10792
