Mean Score,Participant Scores,True Label,Predicted Label
45.538666,45.944096,49.375145,82.7798
_,47.68612,50.0,62.3536
_,47.143726,50.0,85.180984
_,46.73803,50.0,41.58936
_,45.562263,50.0,94.85061
_,44.10367,50.0,105.15708
_,50.129738,50.0,95.6152
_,45.595867,50.0,75.82759
_,46.834038,50.0,111.17459
_,45.459827,50.0,76.22919
_,45.277306,50.0,46.811523
_,44.444817,50.0,67.275185
_,45.095985,50.0,69.939125
_,46.811672,50.0,120.97727
_,44.114075,50.0,105.50516
_,46.757576,148.75029,47.328983
_,42.45341,150.0,47.917053
_,48.09607,150.0,84.66844
_,46.947742,150.0,81.518196
_,46.488018,150.0,70.415306
_,44.498177,150.0,80.52752
_,47.289146,150.0,85.59385
_,44.165203,150.0,105.09146
_,45.206383,150.0,77.57156
_,46.71335,150.0,96.00178
_,44.97395,100.624855,103.05946
_,44.36841,100.0,57.583546
_,43.183155,100.0,96.074135
_,39.131596,100.0,107.02331
_,43.720444,100.0,79.575745
_,44.658073,100.0,84.41145
_,43.23182,100.0,78.40224
_,47.117596,100.0,84.85382
_,42.55355,100.0,133.38712
_,44.059196,100.0,97.18796
_,48.008152,100.0,79.48359
_,46.233562,100.0,118.513725
_,45.722652,99.37881,88.52954
_,48.673996,50.0,106.48665
_,46.354088,50.0,70.84813
_,_,50.0,70.33065
_,_,50.0,78.28917
_,_,50.0,119.0795
_,_,50.0,72.09283
_,_,50.0,79.797646
_,_,50.0,76.66997
_,_,50.0,106.20993
_,_,50.0,75.98659
_,_,50.0,115.922005
_,_,50.0,111.19155
_,_,50.0,56.66997
_,_,50.0,81.94484
_,_,51.24239,126.67135
_,_,150.0,71.90181
_,_,150.0,77.24307
_,_,150.0,84.84649
_,_,150.0,77.616325
_,_,150.0,79.40838
_,_,150.0,67.96634
_,_,150.0,50.228912
_,_,150.0,57.318306
_,_,150.0,92.102455
_,_,149.37881,107.234535
_,_,100.0,42.44423
_,_,100.0,68.24268
_,_,100.0,69.648
_,_,100.0,94.70262
_,_,100.0,59.063866
_,_,100.0,89.069885
_,_,100.0,108.381836
_,_,100.0,106.01576
_,_,100.0,109.2984
_,_,100.0,80.668884
_,_,100.0,70.50443
_,_,100.0,100.600555
_,_,149.37515,83.37671
_,_,150.0,75.904655
_,_,150.0,51.91061
_,_,150.0,75.80277
_,_,150.0,97.28315
_,_,150.0,119.032524
_,_,150.0,66.56555
_,_,150.0,129.25858
_,_,150.0,103.95959
_,_,150.0,71.836716
_,_,51.24971,88.242065
_,_,50.0,108.37282
_,_,50.0,86.86857
_,_,50.0,82.07962
_,_,50.0,88.69538
_,_,50.0,101.886345
_,_,50.0,104.03781
_,_,50.0,89.715096
_,_,50.0,81.88738
_,_,50.0,50.506683
_,_,50.0,106.763275
_,_,50.0,100.337425
_,_,50.0,70.79612
_,_,50.0,89.00492
_,_,50.0,90.913475
_,_,99.375145,102.6392
_,_,100.0,155.4649
_,_,100.0,110.91805
_,_,100.0,94.222206
_,_,100.0,127.978584
_,_,100.0,92.72496
_,_,100.0,105.19317
_,_,100.0,90.57035
_,_,100.0,105.10127
_,_,100.0,101.961105
_,_,100.0,114.76571
_,_,100.0,70.594246
