True Label,Predicted Label,Test Scores (r2 or accuracy)
49.375145,45.118156,-1.260835732540686
50.0,43.697975,_
50.0,44.172676,_
50.0,45.175167,_
50.0,46.041595,_
50.0,43.52926,_
50.0,44.61613,_
50.0,43.353245,_
50.0,45.100067,_
50.0,44.498405,_
50.0,44.436077,_
50.0,44.126377,_
50.0,43.516346,_
50.0,43.503548,_
50.0,44.20618,_
148.75029,45.56893,_
150.0,44.829266,_
150.0,45.174873,_
150.0,45.607353,_
150.0,44.39269,_
150.0,44.112667,_
150.0,42.949955,_
150.0,43.589764,_
150.0,43.42817,_
150.0,44.13295,_
100.624855,44.784286,_
100.0,45.726364,_
100.0,42.382214,_
100.0,46.334747,_
100.0,46.33635,_
100.0,44.658714,_
100.0,43.348732,_
100.0,41.364887,_
100.0,43.515404,_
100.0,43.622738,_
100.0,45.22763,_
100.0,43.581062,_
99.37881,44.097435,_
50.0,45.520912,_
50.0,43.054237,_
50.0,43.58897,_
50.0,44.34277,_
50.0,45.757935,_
50.0,44.152065,_
50.0,44.677826,_
50.0,44.89171,_
50.0,43.91398,_
50.0,44.01516,_
50.0,44.51559,_
50.0,43.741096,_
50.0,43.660694,_
50.0,45.47128,_
51.24239,44.322895,_
150.0,43.836254,_
150.0,44.610252,_
150.0,44.543392,_
150.0,46.12868,_
150.0,43.088634,_
150.0,45.68553,_
150.0,41.974335,_
150.0,43.03146,_
150.0,41.584473,_
149.37881,44.84692,_
100.0,44.84341,_
100.0,42.879993,_
100.0,45.633472,_
100.0,43.577507,_
100.0,46.355316,_
100.0,44.45879,_
100.0,44.085766,_
100.0,45.131687,_
100.0,44.644413,_
100.0,43.2393,_
100.0,45.670006,_
100.0,45.562397,_
149.37515,43.965557,_
150.0,44.249306,_
150.0,45.127365,_
150.0,46.157337,_
150.0,43.990974,_
150.0,42.571503,_
150.0,45.871227,_
150.0,44.41839,_
150.0,43.301147,_
150.0,43.866005,_
51.24971,46.37536,_
50.0,42.15021,_
50.0,42.951054,_
50.0,44.359943,_
50.0,40.877193,_
50.0,43.74618,_
50.0,44.180473,_
50.0,42.449314,_
50.0,44.47495,_
50.0,42.39085,_
50.0,42.81677,_
50.0,44.25246,_
50.0,45.302967,_
50.0,44.752262,_
50.0,44.63574,_
99.375145,44.015915,_
100.0,45.732613,_
100.0,43.572166,_
100.0,44.010178,_
100.0,45.128143,_
100.0,43.94075,_
100.0,43.055042,_
100.0,44.071823,_
100.0,45.67837,_
100.0,43.139587,_
100.0,45.40583,_
100.0,45.275043,_
98.757614,43.90926,_
0.0,42.553387,_
0.0,45.81143,_
49.375145,45.51951,_
50.0,44.545048,_
50.0,44.67456,_
50.0,44.919067,_
50.0,44.669666,_
50.0,44.224102,_
50.0,45.729042,_
50.0,42.657784,_
50.0,44.23006,_
50.0,42.67761,_
50.0,45.27131,_
50.0,44.531174,_
50.0,43.491974,_
50.0,46.94547,_
50.0,44.926353,_
148.75029,46.975536,_
150.0,45.571434,_
150.0,45.05678,_
150.0,45.36445,_
150.0,45.99699,_
150.0,43.854713,_
150.0,45.67535,_
150.0,44.57743,_
150.0,44.257484,_
150.0,44.668518,_
100.624855,45.035908,_
100.0,45.00758,_
100.0,43.60822,_
100.0,44.878498,_
100.0,45.037216,_
100.0,44.12505,_
100.0,45.752728,_
100.0,44.65955,_
100.0,43.303093,_
100.0,44.23209,_
100.0,45.057625,_
100.0,44.287655,_
99.37881,44.412495,_
50.0,44.089985,_
50.0,44.523647,_
50.0,43.973625,_
50.0,43.352978,_
50.0,43.835384,_
50.0,44.785667,_
50.0,45.076344,_
50.0,45.433655,_
50.0,44.026527,_
50.0,44.47029,_
50.0,43.34239,_
50.0,43.893063,_
50.0,43.713116,_
50.0,43.82921,_
51.24239,45.104332,_
150.0,45.16459,_
150.0,44.72542,_
150.0,43.841007,_
150.0,45.7158,_
150.0,44.97855,_
150.0,43.761387,_
150.0,44.44534,_
150.0,45.315975,_
150.0,43.938313,_
149.37881,43.800343,_
100.0,45.539635,_
100.0,43.86051,_
100.0,43.246983,_
100.0,43.0953,_
100.0,44.569054,_
100.0,45.190292,_
100.0,45.328323,_
100.0,45.3002,_
100.0,44.11087,_
100.0,43.36065,_
100.0,44.313725,_
100.0,43.712406,_
149.37515,42.353905,_
150.0,44.79746,_
150.0,43.805508,_
150.0,43.506737,_
150.0,46.45682,_
150.0,43.955544,_
150.0,44.18544,_
150.0,45.02263,_
150.0,44.815895,_
51.24971,42.356094,_
50.0,44.714794,_
50.0,42.7811,_
50.0,44.706223,_
50.0,42.915607,_
50.0,43.54293,_
50.0,44.183342,_
50.0,45.515446,_
50.0,44.700954,_
50.0,43.780514,_
50.0,45.821777,_
50.0,45.773865,_
50.0,43.543846,_
50.0,42.99429,_
50.0,42.014603,_
99.375145,45.596363,_
100.0,44.252728,_
100.0,42.097115,_
100.0,42.937946,_
100.0,44.82286,_
100.0,43.59735,_
100.0,43.590042,_
100.0,45.688072,_
100.0,42.6742,_
100.0,43.027687,_
100.0,42.96571,_
100.0,42.478466,_
98.757614,42.492645,_
0.0,43.24568,_
0.0,42.541145,_
49.375145,44.820656,_
50.0,46.227818,_
50.0,42.576588,_
50.0,45.465214,_
50.0,44.537228,_
50.0,45.02327,_
50.0,46.835293,_
50.0,43.736225,_
50.0,43.957592,_
50.0,46.52381,_
50.0,42.794266,_
50.0,44.135273,_
50.0,44.023083,_
50.0,44.246624,_
50.0,44.43266,_
148.75029,44.667305,_
150.0,44.977917,_
150.0,44.960407,_
150.0,44.850403,_
150.0,45.155094,_
150.0,46.35977,_
150.0,46.50485,_
150.0,45.02522,_
150.0,45.20752,_
150.0,44.067574,_
100.624855,45.220882,_
100.0,43.69707,_
100.0,45.31147,_
100.0,44.56651,_
100.0,44.341774,_
100.0,45.855545,_
100.0,44.43667,_
100.0,46.25978,_
100.0,44.23923,_
100.0,45.841377,_
100.0,44.96356,_
100.0,43.965153,_
99.37881,43.758354,_
50.0,45.994587,_
50.0,43.708378,_
50.0,45.424355,_
50.0,44.965115,_
50.0,42.933033,_
50.0,44.906105,_
50.0,46.101345,_
50.0,45.272995,_
50.0,44.09201,_
50.0,44.8347,_
50.0,43.77541,_
50.0,44.321823,_
50.0,44.445095,_
