True Label,Predicted Label,Test Scores (r2 or accuracy)
49.375145,98.94993,0.08891419401234002
50.0,99.91966,_
50.0,98.35728,_
50.0,91.32482,_
50.0,89.411255,_
50.0,94.04638,_
50.0,89.876144,_
50.0,65.250916,_
50.0,97.96983,_
50.0,83.1308,_
50.0,81.037994,_
50.0,90.82697,_
50.0,85.9024,_
50.0,96.20278,_
50.0,86.376495,_
148.75029,83.97903,_
150.0,78.41613,_
150.0,93.71862,_
150.0,99.014015,_
150.0,85.54294,_
150.0,88.20658,_
150.0,95.13403,_
150.0,83.08461,_
150.0,81.22466,_
150.0,96.052185,_
100.624855,101.46763,_
100.0,83.2131,_
100.0,90.163895,_
100.0,110.366936,_
100.0,89.001884,_
100.0,91.570145,_
100.0,88.88773,_
100.0,91.688805,_
100.0,107.5169,_
100.0,96.90402,_
100.0,96.04196,_
100.0,85.82864,_
99.37881,86.72963,_
50.0,104.628204,_
50.0,90.427025,_
50.0,89.63258,_
50.0,93.41769,_
50.0,94.90815,_
50.0,105.61233,_
50.0,81.60088,_
50.0,77.27215,_
50.0,97.84795,_
50.0,97.242775,_
50.0,84.390305,_
50.0,78.407814,_
50.0,72.121025,_
50.0,81.23645,_
51.24239,86.82302,_
150.0,84.888504,_
150.0,94.725395,_
150.0,96.133484,_
150.0,98.22738,_
150.0,87.79762,_
150.0,86.75349,_
150.0,81.214615,_
150.0,80.13784,_
150.0,93.591736,_
149.37881,88.07166,_
100.0,79.9571,_
100.0,92.01325,_
100.0,77.39568,_
100.0,100.00255,_
100.0,83.60674,_
100.0,99.152916,_
100.0,94.626564,_
100.0,89.70575,_
100.0,92.626396,_
100.0,85.38764,_
100.0,81.943436,_
100.0,98.65907,_
149.37515,88.59758,_
150.0,77.79773,_
150.0,73.27796,_
150.0,96.13661,_
150.0,94.56265,_
150.0,95.70088,_
150.0,94.22086,_
150.0,94.34628,_
150.0,89.45277,_
150.0,91.16813,_
51.24971,103.85909,_
50.0,91.0068,_
50.0,89.19857,_
50.0,91.40069,_
50.0,99.57557,_
50.0,85.945244,_
50.0,81.44633,_
50.0,94.0573,_
50.0,89.463905,_
50.0,90.03682,_
50.0,90.50845,_
50.0,95.50417,_
50.0,86.46898,_
50.0,77.46746,_
50.0,99.11514,_
99.375145,85.63472,_
100.0,106.40513,_
100.0,84.89683,_
100.0,84.22044,_
100.0,93.448845,_
100.0,85.381355,_
100.0,91.74777,_
100.0,102.84944,_
100.0,99.14209,_
100.0,77.42857,_
100.0,104.90746,_
100.0,93.63318,_
98.757614,95.36638,_
0.0,96.71121,_
0.0,83.26018,_
49.375145,97.83874,_
50.0,95.741585,_
50.0,80.68695,_
50.0,99.10385,_
50.0,79.90236,_
50.0,81.372734,_
50.0,89.476364,_
50.0,80.35937,_
50.0,92.80708,_
50.0,100.97912,_
50.0,87.287964,_
50.0,98.45671,_
50.0,88.51627,_
50.0,93.34661,_
50.0,77.50566,_
148.75029,100.49381,_
150.0,83.40126,_
150.0,91.45614,_
150.0,90.16104,_
150.0,97.18255,_
150.0,79.97998,_
150.0,94.94759,_
150.0,95.79329,_
150.0,101.86825,_
150.0,99.49768,_
100.624855,83.98597,_
100.0,94.914314,_
100.0,89.125725,_
100.0,108.49829,_
100.0,103.27649,_
100.0,82.628136,_
100.0,92.04538,_
100.0,86.700066,_
100.0,88.78899,_
100.0,99.75701,_
100.0,92.06516,_
100.0,77.08934,_
99.37881,84.426025,_
50.0,89.53985,_
50.0,96.14053,_
50.0,85.43857,_
50.0,92.77239,_
50.0,87.40996,_
50.0,89.15657,_
50.0,95.04886,_
50.0,81.2463,_
50.0,91.94604,_
50.0,90.769936,_
50.0,86.54551,_
50.0,97.97101,_
50.0,77.97698,_
50.0,104.15628,_
51.24239,103.45181,_
150.0,95.26619,_
150.0,100.1309,_
150.0,94.93969,_
150.0,103.13662,_
150.0,103.27903,_
150.0,84.84434,_
150.0,96.34434,_
150.0,100.05031,_
150.0,91.95155,_
149.37881,77.67673,_
100.0,90.10634,_
100.0,89.90634,_
100.0,88.05394,_
100.0,88.347885,_
100.0,103.38679,_
100.0,95.25341,_
100.0,91.17887,_
100.0,96.234535,_
100.0,96.54009,_
100.0,90.05878,_
100.0,106.69534,_
100.0,80.09031,_
149.37515,91.956665,_
150.0,95.3942,_
150.0,90.442375,_
150.0,89.71427,_
150.0,85.54435,_
150.0,98.18342,_
150.0,98.003334,_
150.0,84.22494,_
150.0,93.57479,_
51.24971,79.87985,_
50.0,89.26445,_
50.0,101.390526,_
50.0,93.39728,_
50.0,77.61284,_
50.0,90.473404,_
50.0,91.621216,_
50.0,80.737434,_
50.0,86.72888,_
50.0,83.8688,_
50.0,96.98219,_
50.0,90.119514,_
50.0,103.07268,_
50.0,85.907974,_
50.0,94.266014,_
99.375145,103.54312,_
100.0,94.36737,_
100.0,86.77022,_
100.0,93.25665,_
100.0,94.35652,_
100.0,86.50994,_
100.0,92.62352,_
100.0,88.31597,_
100.0,95.0091,_
100.0,88.844315,_
100.0,86.31571,_
100.0,94.26557,_
98.757614,85.346565,_
0.0,89.199844,_
0.0,87.037476,_
49.375145,79.69935,_
50.0,95.28282,_
50.0,84.36497,_
50.0,99.91364,_
50.0,94.34864,_
50.0,103.972244,_
50.0,94.05586,_
50.0,96.52832,_
50.0,91.30864,_
50.0,85.627655,_
50.0,91.985596,_
50.0,97.785065,_
50.0,86.97109,_
50.0,98.428505,_
50.0,93.4881,_
148.75029,98.447464,_
150.0,103.89666,_
150.0,103.744,_
150.0,96.472664,_
150.0,105.90883,_
150.0,94.19976,_
150.0,93.6318,_
150.0,94.01958,_
150.0,93.14596,_
150.0,92.90189,_
100.624855,94.84805,_
100.0,87.30915,_
100.0,109.6371,_
100.0,93.69464,_
100.0,99.700294,_
100.0,93.9084,_
100.0,93.372665,_
100.0,106.915405,_
100.0,87.919914,_
100.0,108.02078,_
100.0,88.87815,_
100.0,92.56099,_
99.37881,96.885345,_
50.0,94.10394,_
50.0,79.50907,_
50.0,91.23607,_
50.0,89.213,_
50.0,91.17805,_
50.0,92.54201,_
50.0,90.23768,_
50.0,89.043236,_
50.0,91.196526,_
50.0,87.38935,_
50.0,97.634735,_
50.0,92.547485,_
50.0,85.746796,_
50.0,87.92552,_
51.24239,98.82485,_
150.0,93.11641,_
150.0,103.151215,_
150.0,89.51813,_
150.0,95.932915,_
150.0,113.14353,_
150.0,92.995636,_
150.0,99.32248,_
150.0,104.349335,_
150.0,91.78242,_
149.37881,95.40239,_
100.0,97.61174,_
100.0,103.49547,_
100.0,92.35268,_
100.0,86.00703,_
100.0,98.29511,_
100.0,93.60776,_
100.0,96.49845,_
100.0,91.10892,_
100.0,97.143425,_
100.0,91.89304,_
100.0,108.70652,_
100.0,102.91501,_
149.37515,104.74448,_
150.0,90.70052,_
150.0,97.15754,_
150.0,93.65831,_
150.0,85.536896,_
150.0,97.315575,_
150.0,96.98504,_
150.0,96.46815,_
150.0,112.47909,_
150.0,94.04315,_
51.24971,93.48541,_
50.0,81.467476,_
50.0,105.89307,_
50.0,108.92778,_
50.0,102.34657,_
50.0,101.84484,_
50.0,94.514435,_
50.0,91.41663,_
50.0,101.05558,_
50.0,109.15532,_
50.0,98.3008,_
50.0,93.69429,_
50.0,92.42383,_
50.0,95.73703,_
50.0,97.46912,_
99.375145,113.44903,_
100.0,81.86247,_
100.0,95.080894,_
100.0,87.243324,_
100.0,91.85651,_
100.0,96.213806,_
100.0,105.593254,_
100.0,97.8718,_
100.0,88.58553,_
100.0,108.99483,_
100.0,100.92527,_
100.0,98.599915,_
98.757614,93.996666,_
0.0,82.700226,_
0.0,93.11956,_
49.375145,96.469505,_
50.0,89.68344,_
50.0,89.07381,_
50.0,92.96368,_
50.0,103.283005,_
50.0,91.84155,_
50.0,89.54693,_
50.0,97.879234,_
50.0,107.05413,_
50.0,86.435715,_
50.0,91.46055,_
50.0,100.24361,_
50.0,87.76497,_
50.0,82.18139,_
50.0,103.049255,_
150.0,90.41761,_
150.0,90.00818,_
150.0,90.378,_
150.0,95.40647,_
150.0,88.838684,_
150.0,102.99477,_
150.0,100.3229,_
150.0,98.61862,_
150.0,102.10259,_
100.624855,91.730484,_
100.0,83.30569,_
100.0,92.90452,_
100.0,97.10235,_
100.0,99.9325,_
100.0,90.0664,_
100.0,92.97052,_
100.0,97.591606,_
100.0,101.478455,_
100.0,101.08488,_
100.0,93.6812,_
100.0,88.661705,_
99.37881,98.37671,_
50.0,101.94469,_
50.0,82.91185,_
50.0,89.44206,_
50.0,92.0776,_
50.0,91.98674,_
50.0,82.621315,_
50.0,105.54754,_
50.0,78.7326,_
50.0,82.94726,_
50.0,75.14409,_
50.0,96.07616,_
50.0,82.60187,_
50.0,91.05775,_
50.0,88.130646,_
51.24239,100.63455,_
150.0,101.94895,_
150.0,116.611565,_
150.0,97.7696,_
150.0,102.17668,_
150.0,97.94829,_
150.0,106.089264,_
150.0,100.280716,_
150.0,107.07782,_
150.0,97.04092,_
149.37881,104.53807,_
100.0,99.30639,_
100.0,98.10554,_
100.0,101.415535,_
100.0,100.011734,_
100.0,101.204765,_
100.0,91.29758,_
100.0,96.78575,_
100.0,91.59325,_
100.0,94.01027,_
100.0,93.92071,_
100.0,94.317535,_
100.0,94.71736,_
149.37515,110.40614,_
150.0,115.88206,_
150.0,102.05687,_
150.0,103.89714,_
150.0,98.92554,_
150.0,98.05311,_
150.0,102.64373,_
150.0,100.92803,_
150.0,85.26565,_
150.0,95.40859,_
51.24971,102.05982,_
50.0,93.92216,_
50.0,89.296486,_
50.0,102.68571,_
50.0,89.082794,_
50.0,95.58809,_
50.0,102.830025,_
50.0,76.10898,_
50.0,88.70431,_
50.0,108.298454,_
50.0,101.80995,_
50.0,97.85192,_
50.0,107.00038,_
50.0,100.07574,_
50.0,80.005844,_
99.375145,94.36156,_
100.0,89.170105,_
100.0,93.53658,_
100.0,96.48876,_
100.0,94.28992,_
100.0,86.12849,_
100.0,116.33599,_
100.0,94.91423,_
100.0,94.35867,_
100.0,87.869965,_
100.0,95.94751,_
100.0,100.98497,_
98.757614,92.94416,_
0.0,95.0527,_
0.0,91.78934,_
49.375145,89.783455,_
50.0,78.534256,_
50.0,96.30709,_
50.0,77.978355,_
50.0,92.859116,_
50.0,92.46304,_
50.0,90.09061,_
50.0,81.77054,_
50.0,79.31027,_
50.0,100.719734,_
50.0,92.515686,_
50.0,89.01142,_
50.0,94.992805,_
50.0,92.00584,_
50.0,95.48437,_
148.75029,80.69119,_
150.0,82.67973,_
150.0,87.707016,_
150.0,71.91757,_
150.0,88.75336,_
150.0,86.43412,_
150.0,95.86708,_
150.0,103.80552,_
150.0,88.75185,_
150.0,91.476685,_
100.624855,94.540886,_
100.0,87.498985,_
100.0,100.24548,_
100.0,90.97807,_
100.0,102.86609,_
100.0,89.7121,_
100.0,79.86281,_
100.0,87.58005,_
100.0,90.48876,_
100.0,89.68329,_
100.0,95.89459,_
100.0,90.15446,_
99.37881,83.61641,_
50.0,92.59253,_
50.0,102.57415,_
50.0,83.94297,_
50.0,103.45427,_
50.0,77.10397,_
50.0,78.06626,_
50.0,81.53474,_
50.0,83.98288,_
50.0,86.920944,_
50.0,82.31992,_
50.0,98.181305,_
50.0,90.602135,_
50.0,85.12831,_
51.24239,96.86975,_
150.0,103.56927,_
150.0,85.540985,_
150.0,94.202515,_
150.0,101.914345,_
150.0,82.32819,_
150.0,97.094376,_
150.0,88.85725,_
150.0,86.618744,_
149.37881,87.22065,_
100.0,76.31332,_
100.0,87.0561,_
100.0,94.93429,_
100.0,81.5019,_
100.0,98.23203,_
100.0,82.14678,_
100.0,84.38633,_
100.0,79.486534,_
100.0,92.05733,_
100.0,81.23842,_
100.0,82.54342,_
100.0,95.48188,_
149.37515,79.36516,_
150.0,104.542,_
150.0,89.53639,_
150.0,68.300415,_
150.0,96.48621,_
150.0,100.77917,_
150.0,86.03735,_
150.0,93.15089,_
150.0,65.80993,_
150.0,100.56912,_
51.24971,91.00783,_
50.0,88.59769,_
50.0,85.19187,_
50.0,95.82587,_
50.0,116.21126,_
50.0,85.352264,_
50.0,89.7631,_
50.0,90.52955,_
50.0,94.66947,_
50.0,88.39642,_
50.0,92.9159,_
50.0,95.98795,_
50.0,87.48759,_
50.0,83.15537,_
99.375145,99.561134,_
100.0,88.344284,_
100.0,87.525764,_
100.0,80.59631,_
100.0,104.67908,_
100.0,94.41838,_
100.0,82.76859,_
100.0,86.2833,_
100.0,90.8605,_
100.0,92.28961,_
100.0,86.74612,_
100.0,87.86296,_
98.757614,86.80295,_
0.0,92.42476,_
0.0,82.154396,_
49.375145,95.21793,_
50.0,97.47106,_
50.0,89.632256,_
50.0,89.28655,_
50.0,95.050644,_
50.0,83.540115,_
50.0,87.21436,_
50.0,93.44941,_
50.0,86.39105,_
50.0,101.27964,_
50.0,96.84712,_
50.0,91.24835,_
50.0,91.778915,_
50.0,82.50388,_
148.75029,79.40151,_
150.0,82.20788,_
150.0,87.86766,_
150.0,97.7458,_
150.0,89.52437,_
150.0,85.88006,_
150.0,74.17814,_
150.0,79.58687,_
150.0,85.122185,_
150.0,76.54651,_
100.624855,93.9331,_
100.0,89.0303,_
100.0,92.05648,_
100.0,86.46025,_
100.0,94.252785,_
100.0,91.43856,_
100.0,94.42674,_
100.0,83.76204,_
100.0,83.76714,_
100.0,89.24809,_
100.0,87.5411,_
100.0,79.78419,_
99.37881,86.98366,_
50.0,85.99425,_
50.0,87.36646,_
50.0,86.08708,_
50.0,87.78191,_
50.0,81.27824,_
50.0,93.21567,_
50.0,86.95309,_
50.0,93.82695,_
50.0,95.35844,_
50.0,82.68784,_
50.0,97.97375,_
50.0,91.91109,_
50.0,95.69365,_
50.0,96.04655,_
51.24239,93.86944,_
150.0,102.93059,_
150.0,83.08443,_
150.0,86.99635,_
150.0,84.023125,_
150.0,86.299965,_
150.0,88.801445,_
150.0,90.09898,_
150.0,82.417076,_
150.0,87.54296,_
149.37881,81.06543,_
100.0,85.10098,_
100.0,89.334564,_
100.0,87.30695,_
100.0,84.61246,_
100.0,95.11653,_
100.0,103.49932,_
100.0,89.80992,_
100.0,96.218864,_
100.0,97.1553,_
100.0,93.65059,_
100.0,88.975006,_
100.0,83.19679,_
149.37515,85.76112,_
150.0,100.88527,_
150.0,91.90749,_
150.0,84.88669,_
150.0,97.394936,_
150.0,101.79828,_
150.0,92.14178,_
150.0,96.76703,_
150.0,79.693054,_
150.0,89.40413,_
51.24971,94.85371,_
50.0,82.97047,_
50.0,73.36454,_
50.0,83.06417,_
50.0,90.84616,_
50.0,81.3936,_
50.0,94.7617,_
50.0,85.074776,_
50.0,84.428116,_
50.0,95.92302,_
50.0,90.83171,_
50.0,91.00592,_
50.0,90.29912,_
50.0,94.48965,_
50.0,82.95232,_
99.375145,90.13226,_
100.0,92.19293,_
100.0,85.80207,_
100.0,88.25885,_
100.0,82.261826,_
100.0,90.92665,_
100.0,82.53102,_
100.0,87.093414,_
100.0,86.03993,_
100.0,85.298676,_
100.0,94.541306,_
100.0,82.71006,_
98.757614,108.6594,_
0.0,102.3406,_
0.0,103.98639,_
49.375145,94.61645,_
50.0,100.58877,_
50.0,92.879974,_
50.0,88.87877,_
50.0,95.87292,_
50.0,82.85631,_
50.0,98.78562,_
50.0,93.61613,_
50.0,81.59376,_
50.0,89.87652,_
50.0,102.1163,_
50.0,77.64552,_
50.0,92.64703,_
50.0,101.69395,_
50.0,93.66782,_
148.75029,98.110855,_
150.0,99.49309,_
150.0,96.27383,_
150.0,102.739456,_
150.0,95.01736,_
150.0,93.362076,_
150.0,98.96648,_
150.0,100.47075,_
150.0,103.96289,_
150.0,92.66987,_
100.624855,97.057884,_
100.0,100.910934,_
100.0,98.98386,_
100.0,99.74009,_
100.0,91.6121,_
100.0,99.74054,_
100.0,103.21264,_
100.0,96.11535,_
100.0,98.73896,_
100.0,102.20854,_
100.0,100.995674,_
99.37881,97.3736,_
50.0,91.990776,_
50.0,92.72821,_
50.0,92.73742,_
50.0,96.15228,_
50.0,90.95215,_
50.0,111.056145,_
50.0,112.68744,_
50.0,97.25824,_
50.0,103.21398,_
50.0,94.902664,_
50.0,95.42046,_
50.0,96.24867,_
50.0,90.00047,_
150.0,106.17937,_
150.0,97.11595,_
150.0,92.707405,_
150.0,84.61544,_
150.0,104.38426,_
