Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
42.15489774771677,42.11806104886992,"""OrderedDict([('randomforestregressor__bootstrap'; True); ('randomforestregressor__max_depth'; 20); ('randomforestregressor__min_samples_leaf'; 4); ('randomforestregressor__min_samples_split'; 5); ('randomforestregressor__n_estimators'; 100); ('randomforestregressor__n_jobs'; -1)])""",49.3751459369,107.21441225829041
_,42.378763094506745,_,50.0000007451,101.75301690192063
_,41.96786909977363,_,50.0000007451,99.57175996426017
_,_,_,50.0000007451,95.5754909472719
_,_,_,50.0000007451,93.98599714734017
_,_,_,50.0000007451,89.27939687835882
_,_,_,50.0000007451,97.17461857983719
_,_,_,50.0000007451,90.04998761026269
_,_,_,50.0000007451,99.479220482058
_,_,_,50.0000007451,110.21246512827098
_,_,_,50.0000007451,95.21519765407692
_,_,_,50.0000007451,95.20758831286666
_,_,_,50.0000007451,102.9455441419674
_,_,_,50.0000007451,99.62763752491519
_,_,_,50.0000007451,100.59924008348142
_,_,_,148.7502926096,94.26121900089352
_,_,_,150.0000022352,100.15559985146204
_,_,_,150.0000022352,97.21805628907785
_,_,_,150.0000022352,93.96825298285432
_,_,_,150.0000022352,94.90200658807667
_,_,_,150.0000022352,93.33172944341733
_,_,_,150.0000022352,95.88085644120338
_,_,_,150.0000022352,93.33218492400006
_,_,_,150.0000022352,84.78360054693398
_,_,_,150.0000022352,92.35179867230458
_,_,_,100.6248563059,93.72258862813227
_,_,_,100.0000014901,91.12018006031705
_,_,_,100.0000014901,93.2443966200311
_,_,_,100.0000014901,88.40965730454487
_,_,_,100.0000014901,96.99261482832154
_,_,_,100.0000014901,91.55185656673726
_,_,_,100.0000014901,87.70858388529449
_,_,_,100.0000014901,87.78370280385569
_,_,_,100.0000014901,93.7953248625376
_,_,_,100.0000014901,85.45819775601682
_,_,_,100.0000014901,98.80444548327961
_,_,_,100.0000014901,92.66251652013702
_,_,_,99.3788078438,89.44424760809373
_,_,_,50.0000007451,84.95921299806514
_,_,_,50.0000007451,97.82766000858756
_,_,_,50.0000007451,86.80626608960648
_,_,_,50.0000007451,92.77983572167936
_,_,_,50.0000007451,94.54288095826459
_,_,_,50.0000007451,86.86196234874114
_,_,_,50.0000007451,90.4964409944418
