Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
41.87691653390561,41.14643539627509,"""OrderedDict([('randomforestregressor__bootstrap'; True); ('randomforestregressor__max_depth'; 10); ('randomforestregressor__min_samples_leaf'; 2); ('randomforestregressor__min_samples_split'; 5); ('randomforestregressor__n_estimators'; 50); ('randomforestregressor__n_jobs'; -1)])""",49.3751459369,102.96468476071499
_,41.89587584001246,_,50.0000007451,101.00725622553846
_,42.588438365429276,_,50.0000007451,95.6219940021066
_,_,_,50.0000007451,93.13670907347888
_,_,_,50.0000007451,85.0516349911384
_,_,_,50.0000007451,80.75210644151817
_,_,_,50.0000007451,84.99508571342606
_,_,_,50.0000007451,85.4740869821412
_,_,_,50.0000007451,84.98183818355847
_,_,_,50.0000007451,108.45773462008925
_,_,_,50.0000007451,78.18398309965379
_,_,_,50.0000007451,88.01710549345806
_,_,_,50.0000007451,102.59019319013177
_,_,_,50.0000007451,102.69229309115282
_,_,_,50.0000007451,99.04012247615115
_,_,_,148.7502926096,104.93656618828781
_,_,_,150.0000022352,80.47035679815014
_,_,_,150.0000022352,84.67763854648821
_,_,_,150.0000022352,92.61394144861517
_,_,_,150.0000022352,83.71526113185618
_,_,_,150.0000022352,96.75907641109195
_,_,_,150.0000022352,95.62745988413639
_,_,_,150.0000022352,87.53322926251059
_,_,_,150.0000022352,87.96890754112366
_,_,_,150.0000022352,102.99289889958877
_,_,_,100.6248563059,100.0059091324045
_,_,_,100.0000014901,97.91281309547323
_,_,_,100.0000014901,92.39212978962661
_,_,_,100.0000014901,88.41981852628307
_,_,_,100.0000014901,102.65695190859896
_,_,_,100.0000014901,99.40757788822226
_,_,_,100.0000014901,95.05131410691006
_,_,_,100.0000014901,94.03856293918108
_,_,_,100.0000014901,94.7506885759708
_,_,_,100.0000014901,90.25395995250783
_,_,_,100.0000014901,96.48963600657855
_,_,_,100.0000014901,100.46136077409702
_,_,_,99.3788078438,82.32475535022573
_,_,_,50.0000007451,87.19904471382047
_,_,_,50.0000007451,86.70719333932622
_,_,_,50.0000007451,96.72437629236302
_,_,_,50.0000007451,91.26162475402279
_,_,_,50.0000007451,89.92414189346415
_,_,_,50.0000007451,85.12023582601562
_,_,_,50.0000007451,96.30720802401729
_,_,_,50.0000007451,93.53833030131837
_,_,_,50.0000007451,90.51358868483857
_,_,_,50.0000007451,93.98382352733927
_,_,_,50.0000007451,82.45671905346357
_,_,_,50.0000007451,86.03159656143336
_,_,_,50.0000007451,94.3491923245312
_,_,_,50.0000007451,93.38534241481831
_,_,_,51.2423880255,83.36052031117457
_,_,_,150.0000022352,84.86049887640769
_,_,_,150.0000022352,96.41685086984127
_,_,_,150.0000022352,100.65336228991875
_,_,_,150.0000022352,100.46039074808863
_,_,_,150.0000022352,96.43370005120352
_,_,_,150.0000022352,92.87971761011786
_,_,_,150.0000022352,95.22147655531262
_,_,_,150.0000022352,90.46261989486283
_,_,_,150.0000022352,88.2143496945427
_,_,_,149.378808598,87.423727641708
_,_,_,100.0000014901,88.4095618516032
_,_,_,100.0000014901,95.38074919245727
_,_,_,100.0000014901,99.78769519324582
_,_,_,100.0000014901,100.6424727665257
_,_,_,100.0000014901,96.78129240969564
_,_,_,100.0000014901,92.98487102899207
_,_,_,100.0000014901,87.87300969505579
_,_,_,100.0000014901,82.41911605757932
_,_,_,100.0000014901,87.20632562177025
_,_,_,100.0000014901,98.15193653565659
_,_,_,100.0000014901,81.79198348154344
_,_,_,100.0000014901,92.66773985287605
_,_,_,149.3751474346,111.73653577962628
_,_,_,150.0000022352,101.01224049105518
_,_,_,150.0000022352,98.73335088026106
_,_,_,150.0000022352,89.99774632703826
_,_,_,150.0000022352,105.2167492019083
_,_,_,150.0000022352,103.75600068022132
_,_,_,150.0000022352,107.48966445058122
_,_,_,150.0000022352,99.76102636470678
_,_,_,150.0000022352,89.72293887457205
_,_,_,150.0000022352,97.32646724740492
_,_,_,51.2497103554,88.58488542704876
_,_,_,50.0000007451,98.99631092492118
_,_,_,50.0000007451,94.53266906774552
_,_,_,50.0000007451,100.35573964393524
_,_,_,50.0000007451,88.90173477216683
_,_,_,50.0000007451,98.9718463967634
_,_,_,50.0000007451,87.95604925826741
_,_,_,50.0000007451,86.99567995533545
_,_,_,50.0000007451,94.42165494339817
_,_,_,50.0000007451,95.21189747968678
_,_,_,50.0000007451,91.10646675766252
_,_,_,50.0000007451,84.98754078209802
_,_,_,50.0000007451,88.9022344925369
_,_,_,50.0000007451,100.93532699300472
_,_,_,50.0000007451,101.01509711486601
_,_,_,99.3751466773,92.49673216038106
_,_,_,100.0000014901,99.95557496031157
_,_,_,100.0000014901,98.84821331359133
