Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
29655059859011.53,30380414945968.996,"""{'sgdregressor__alpha': 0.1; 'sgdregressor__penalty': 'elasticnet'}""",49.3751459369,-16050916965886.074
_,31224166548607.684,_,50.0000007451,-16757477020559.543
_,27360598082457.91,_,50.0000007451,28120677818470.797
_,_,_,50.0000007451,-8050796275553.831
_,_,_,50.0000007451,-44228014679824.336
_,_,_,50.0000007451,-1251402901512.9678
_,_,_,50.0000007451,-14092454442128.645
_,_,_,50.0000007451,-12720938724826.373
_,_,_,50.0000007451,3081704610290.1724
_,_,_,50.0000007451,17812522844934.84
_,_,_,50.0000007451,29357991163442.824
_,_,_,50.0000007451,-29509575280692.625
_,_,_,50.0000007451,-39132292346784.96
_,_,_,50.0000007451,-26119511786236.656
_,_,_,50.0000007451,-14798096340032.545
_,_,_,148.7502926096,-16528919272139.703
_,_,_,150.0000022352,-56821219841394.484
_,_,_,150.0000022352,44010494063177.86
_,_,_,150.0000022352,-19906572908512.137
_,_,_,150.0000022352,-5583457106945.325
_,_,_,150.0000022352,-5254259643407.937
_,_,_,150.0000022352,24546399010440.906
_,_,_,150.0000022352,35916847601685.88
_,_,_,150.0000022352,-37087103027628.875
_,_,_,150.0000022352,-40586024835664.01
_,_,_,100.6248563059,-1709917596039.5361
_,_,_,100.0000014901,-29883353413871.66
_,_,_,100.0000014901,-4187548255268.9937
_,_,_,100.0000014901,5272944536762.474
_,_,_,100.0000014901,18025468142162.65
_,_,_,100.0000014901,-1363400811981.3127
_,_,_,100.0000014901,-49718004510333.2
_,_,_,100.0000014901,-40066866839152.43
_,_,_,100.0000014901,2489588126089.7905
_,_,_,100.0000014901,-41677531001869.086
_,_,_,100.0000014901,48838072863731.02
_,_,_,100.0000014901,-12722417879640.162
_,_,_,99.3788078438,56418353875967.31
_,_,_,50.0000007451,25917177751058.867
_,_,_,50.0000007451,-47920011431312.47
_,_,_,50.0000007451,53394732482045.17
_,_,_,50.0000007451,18020254375758.027
_,_,_,50.0000007451,38774893947464.47
_,_,_,50.0000007451,244436391607.49762
_,_,_,50.0000007451,72758178188568.34
_,_,_,50.0000007451,23956539844724.824
_,_,_,50.0000007451,-2327599429371.816
_,_,_,50.0000007451,23597207130407.598
_,_,_,50.0000007451,-9786861626799.22
_,_,_,50.0000007451,-11189879665713.658
_,_,_,50.0000007451,9794911252561.855
_,_,_,50.0000007451,-15926673194947.232
_,_,_,51.2423880255,-112042893847682.28
_,_,_,150.0000022352,-14474638547911.469
_,_,_,150.0000022352,34899482045282.94
_,_,_,150.0000022352,56401764837107.1
_,_,_,150.0000022352,-20322714794741.824
_,_,_,150.0000022352,38500391466656.56
_,_,_,150.0000022352,7377782428.856262
_,_,_,150.0000022352,-51795157361367.34
_,_,_,150.0000022352,-29000341822711.555
_,_,_,150.0000022352,-20930485112065.914
_,_,_,149.378808598,-39434229130872.97
_,_,_,100.0000014901,-72340803414989.66
_,_,_,100.0000014901,29202383962065.66
_,_,_,100.0000014901,37075514597280.39
_,_,_,100.0000014901,22740085664669.684
_,_,_,100.0000014901,-20887644414153.934
_,_,_,100.0000014901,21148013493296.973
_,_,_,100.0000014901,-66583039163742.39
_,_,_,100.0000014901,-5223876957519.201
_,_,_,100.0000014901,-12798770973846.957
_,_,_,100.0000014901,-25990672121635.906
_,_,_,100.0000014901,-5980231410644.626
_,_,_,100.0000014901,38295700164482.38
_,_,_,149.3751474346,-2818504482373.1865
_,_,_,150.0000022352,42235184673256.945
_,_,_,150.0000022352,-22014219246048.87
_,_,_,150.0000022352,53361093593449.02
_,_,_,150.0000022352,-1560445405431.424
_,_,_,150.0000022352,-1304802440519.4968
_,_,_,150.0000022352,8413700462368.466
_,_,_,150.0000022352,63236796124127.84
_,_,_,150.0000022352,28793933258105.035
_,_,_,150.0000022352,31615868254678.27
_,_,_,51.2497103554,-12544201773797.592
_,_,_,50.0000007451,16559775610892.299
_,_,_,50.0000007451,-6908246341319.249
_,_,_,50.0000007451,20535520758626.637
_,_,_,50.0000007451,9010858099987.678
_,_,_,50.0000007451,-27948716918708.39
_,_,_,50.0000007451,-41861359203533.59
_,_,_,50.0000007451,40240453735534.44
_,_,_,50.0000007451,-37194217781198.33
_,_,_,50.0000007451,257600310338.7201
_,_,_,50.0000007451,-47737716225512.99
_,_,_,50.0000007451,63970467474616.41
_,_,_,50.0000007451,26752815238026.016
_,_,_,50.0000007451,21386092060508.555
_,_,_,50.0000007451,-28423112045646.785
_,_,_,99.3751466773,1626699358218.251
_,_,_,100.0000014901,12651783777788.258
_,_,_,100.0000014901,-13809500250006.71
_,_,_,100.0000014901,-84103131024770.34
_,_,_,100.0000014901,-9737086818387.65
_,_,_,100.0000014901,17507276460503.166
_,_,_,100.0000014901,-8150911927036.232
_,_,_,100.0000014901,-41301866981664.4
_,_,_,100.0000014901,8257502626434.369
_,_,_,100.0000014901,100014335929367.11
_,_,_,100.0000014901,-8911877900941.63
_,_,_,100.0000014901,10095387870105.95
_,_,_,98.7576142035,-5683761387283.448
_,_,_,0.0,-22791286229264.316
_,_,_,0.0,-54927266222123.7
_,_,_,49.3751459369,-59340531319926.586
_,_,_,50.0000007451,27211179696081.867
_,_,_,50.0000007451,37226171025952.8
_,_,_,50.0000007451,14174629394176.41
_,_,_,50.0000007451,-9589967640795.322
_,_,_,50.0000007451,-35108957184578.96
_,_,_,50.0000007451,-7304118226479.865
_,_,_,50.0000007451,-6773568833812.432
_,_,_,50.0000007451,-14393613001580.932
_,_,_,50.0000007451,-10827081783075.896
_,_,_,50.0000007451,25825735767437.902
_,_,_,50.0000007451,-53468220599395.66
_,_,_,50.0000007451,-25918145946286.793
_,_,_,50.0000007451,-10814090456362.31
_,_,_,50.0000007451,-51329175539414.3
_,_,_,148.7502926096,-51952146659846.82
_,_,_,150.0000022352,10073320105214.139
_,_,_,150.0000022352,-29637646482019.44
_,_,_,150.0000022352,17289899908438.775
_,_,_,150.0000022352,-13180087560624.514
_,_,_,150.0000022352,15019555500420.744
_,_,_,150.0000022352,6745119711251.552
_,_,_,150.0000022352,24158207108766.56
_,_,_,150.0000022352,-10069699153963.402
_,_,_,150.0000022352,-5614468520486.972
_,_,_,100.6248563059,25094027099446.223
_,_,_,100.0000014901,-7087731658322.53
_,_,_,100.0000014901,28056556550979.36
