Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
33488412306558.312,31231535863908.98,"""{'sgdregressor__alpha': 0.3; 'sgdregressor__penalty': 'l2'}""",49.3751459369,-22508146067749.324
_,32626525727754.082,_,50.0000007451,12656677515744.658
_,36607175328011.875,_,50.0000007451,-66013922415147.36
_,_,_,50.0000007451,57192873525088.72
_,_,_,50.0000007451,-13507950879713.744
_,_,_,50.0000007451,-14153534700418.398
_,_,_,50.0000007451,-15041314271285.115
_,_,_,50.0000007451,-5263951698361.211
_,_,_,50.0000007451,-28287591128231.57
_,_,_,50.0000007451,-37208295598184.336
_,_,_,50.0000007451,20551557037709.785
_,_,_,50.0000007451,-43271187854790.73
_,_,_,50.0000007451,2395931452527.503
_,_,_,50.0000007451,13003611882112.27
_,_,_,50.0000007451,13789805174104.684
_,_,_,148.7502926096,34157877156531.633
_,_,_,150.0000022352,-29591512380992.133
_,_,_,150.0000022352,-4754024907189.486
_,_,_,150.0000022352,-32440310220017.6
_,_,_,150.0000022352,101135263261148.06
_,_,_,150.0000022352,-12565232042047.48
_,_,_,150.0000022352,-30554602031004.027
_,_,_,150.0000022352,-16491565945104.104
_,_,_,150.0000022352,57283742215133.84
_,_,_,150.0000022352,-45955020226990.31
_,_,_,100.6248563059,29780045635086.52
_,_,_,100.0000014901,-9456645560667.262
_,_,_,100.0000014901,-4261874496079.075
_,_,_,100.0000014901,12012797047783.059
_,_,_,100.0000014901,-45202980941175.516
_,_,_,100.0000014901,-3252872773489.158
_,_,_,100.0000014901,15534252575624.45
_,_,_,100.0000014901,39269644837190.23
_,_,_,100.0000014901,5534415445470.622
_,_,_,100.0000014901,43339406161634.81
_,_,_,100.0000014901,-1776045981431.9722
_,_,_,100.0000014901,12279052085950.994
_,_,_,99.3788078438,-51081539727456.266
_,_,_,50.0000007451,10898115996861.547
_,_,_,50.0000007451,-8961447729599.4
_,_,_,50.0000007451,-13974848214417.486
_,_,_,50.0000007451,30290711142739.496
_,_,_,50.0000007451,3973470066343.796
_,_,_,50.0000007451,-44344570389412.66
_,_,_,50.0000007451,7291039774454.63
_,_,_,50.0000007451,-45315821665723.766
_,_,_,50.0000007451,47313709557792.58
_,_,_,50.0000007451,-1405700370353.75
_,_,_,50.0000007451,-13098546586998.994
_,_,_,50.0000007451,-40716832098538.94
_,_,_,50.0000007451,27565045775730.887
_,_,_,50.0000007451,-42223217192283.8
_,_,_,51.2423880255,-28845156109018.48
_,_,_,150.0000022352,53940502415586.92
_,_,_,150.0000022352,50831954954158.94
_,_,_,150.0000022352,3776441372718.6274
_,_,_,150.0000022352,-13889554931713.236
_,_,_,150.0000022352,-8234406524905.145
_,_,_,150.0000022352,25130197698391.715
_,_,_,150.0000022352,-30349048289933.91
_,_,_,150.0000022352,15111406176654.836
_,_,_,150.0000022352,34510141821106.57
_,_,_,149.378808598,-55610243030640.81
_,_,_,100.0000014901,43284508815386.945
_,_,_,100.0000014901,17411736779546.57
_,_,_,100.0000014901,6117778161474.21
_,_,_,100.0000014901,49169203595330.23
_,_,_,100.0000014901,26165384002728.22
_,_,_,100.0000014901,31285493563210.547
_,_,_,100.0000014901,-28574258470511.78
_,_,_,100.0000014901,33868652605975.367
_,_,_,100.0000014901,39425804510310.05
_,_,_,100.0000014901,-12311503420560.664
_,_,_,100.0000014901,-28090313460600.14
_,_,_,100.0000014901,4273197934558.6787
_,_,_,149.3751474346,-35406519594750.836
_,_,_,150.0000022352,30346312921988.73
_,_,_,150.0000022352,18997217185900.27
_,_,_,150.0000022352,-21289433687761.37
_,_,_,150.0000022352,-25729811061521.11
_,_,_,150.0000022352,-28318705609619.53
_,_,_,150.0000022352,-31290861927586.6
_,_,_,150.0000022352,30293018508654.703
_,_,_,150.0000022352,29308679165112.42
_,_,_,150.0000022352,34617121476168.97
_,_,_,51.2497103554,-34943295856924.777
_,_,_,50.0000007451,4287522625558.073
_,_,_,50.0000007451,18105451927156.867
_,_,_,50.0000007451,14101725436741.732
_,_,_,50.0000007451,-18187037459890.89
_,_,_,50.0000007451,21633746150807.023
_,_,_,50.0000007451,-7122411776544.087
_,_,_,50.0000007451,22932176395009.105
_,_,_,50.0000007451,22218826829980.855
_,_,_,50.0000007451,35973004737749.32
_,_,_,50.0000007451,23808177340355.65
_,_,_,50.0000007451,24393595584384.305
_,_,_,50.0000007451,21002898817456.29
_,_,_,50.0000007451,37794493688433.805
_,_,_,50.0000007451,13541173016307.555
_,_,_,99.3751466773,11497560087562.363
_,_,_,100.0000014901,46389803873133.96
_,_,_,100.0000014901,-28080878826344.23
_,_,_,100.0000014901,-4068222662130.148
_,_,_,100.0000014901,30712535246943.777
_,_,_,100.0000014901,54153289822904.25
_,_,_,100.0000014901,10376686544673.207
_,_,_,100.0000014901,7684203626727.6
_,_,_,100.0000014901,-37409822008009.48
_,_,_,100.0000014901,25707853269628.645
_,_,_,100.0000014901,-27045190064192.754
_,_,_,100.0000014901,-26166472611041.58
_,_,_,98.7576142035,-12000756478821.693
_,_,_,0.0,27018551909650.543
_,_,_,0.0,-56770824796298.32
_,_,_,49.3751459369,33423223707659.83
_,_,_,50.0000007451,28340277390824.516
_,_,_,50.0000007451,59985229805722.3
_,_,_,50.0000007451,-18294486198342.715
_,_,_,50.0000007451,-2158793746386.021
_,_,_,50.0000007451,-49908104651263.89
_,_,_,50.0000007451,13593677356940.383
_,_,_,50.0000007451,-51432238565821.945
_,_,_,50.0000007451,28864112741867.617
_,_,_,50.0000007451,-23037249235338.836
_,_,_,50.0000007451,-35034026953211.066
_,_,_,50.0000007451,980438113067.8102
_,_,_,50.0000007451,23033459367709.32
_,_,_,50.0000007451,-32033777430098.43
_,_,_,50.0000007451,16452951430469.61
_,_,_,148.7502926096,6770278378317.976
_,_,_,150.0000022352,-11092222312884.537
_,_,_,150.0000022352,-10321189451926.824
_,_,_,150.0000022352,13759403510196.982
_,_,_,150.0000022352,-9920186147199.447
_,_,_,150.0000022352,19219313773416.395
_,_,_,150.0000022352,-45065504803438.94
_,_,_,150.0000022352,60624486449722.555
_,_,_,150.0000022352,127322085281.89902
_,_,_,150.0000022352,13233195281009.883
_,_,_,100.6248563059,-3458612461290.428
_,_,_,100.0000014901,37146807212055.82
_,_,_,100.0000014901,19202554253795.844
_,_,_,100.0000014901,11692311336847.496
_,_,_,100.0000014901,-2001811350276.434
_,_,_,100.0000014901,-22180265817782.137
_,_,_,100.0000014901,16179276203130.281
_,_,_,100.0000014901,-49213790796837.2
_,_,_,100.0000014901,-8310186715032.657
_,_,_,100.0000014901,51927126167281.13
_,_,_,100.0000014901,7651761609323.474
_,_,_,100.0000014901,-10484946384830.033
_,_,_,99.3788078438,5125980438342.239
_,_,_,50.0000007451,-87266020588.49333
_,_,_,50.0000007451,43494421120202.914
_,_,_,50.0000007451,-45447813989411.055
_,_,_,50.0000007451,-57417434472050.9
_,_,_,50.0000007451,-6270408207465.482
_,_,_,50.0000007451,-67657018753390.57
_,_,_,50.0000007451,58352134123500.7
_,_,_,50.0000007451,3283876466660.0415
_,_,_,50.0000007451,-44525905338824.14
_,_,_,50.0000007451,-3502236742610.1113
_,_,_,50.0000007451,-5835650725357.653
_,_,_,50.0000007451,-13274685168785.246
_,_,_,50.0000007451,12848365084483.303
_,_,_,50.0000007451,-17965740433758.152
_,_,_,51.2423880255,20258406260347.137
_,_,_,150.0000022352,-74645673231354.88
_,_,_,150.0000022352,-25077727316119.027
_,_,_,150.0000022352,39577401514578.01
_,_,_,150.0000022352,6693520174981.22
_,_,_,150.0000022352,53536858210374.57
_,_,_,150.0000022352,23187022449280.676
_,_,_,150.0000022352,20935199138992.25
_,_,_,150.0000022352,126751406945518.86
_,_,_,150.0000022352,-20975312095719.902
_,_,_,149.378808598,40217443019339.75
_,_,_,100.0000014901,22931415715470.63
_,_,_,100.0000014901,8955208212471.98
_,_,_,100.0000014901,6759526040850.425
_,_,_,100.0000014901,-2807255396278.08
_,_,_,100.0000014901,12614616327438.973
_,_,_,100.0000014901,-1018919849310.4819
_,_,_,100.0000014901,-39189809779144.69
_,_,_,100.0000014901,-2827416769315.003
_,_,_,100.0000014901,-26787035233100.535
_,_,_,100.0000014901,-56041212185643.586
_,_,_,100.0000014901,9128460536516.889
_,_,_,100.0000014901,2166140811416.7803
_,_,_,149.3751474346,28123568304223.203
_,_,_,150.0000022352,25464343677749.11
_,_,_,150.0000022352,-1496923538330.7
_,_,_,150.0000022352,-62895609264070.15
_,_,_,150.0000022352,38442379207110.39
_,_,_,150.0000022352,13333534011145.926
_,_,_,150.0000022352,7049558741036.065
_,_,_,150.0000022352,-42211748633562.46
_,_,_,150.0000022352,-26565452426606.49
_,_,_,51.2497103554,15429381214900.295
_,_,_,50.0000007451,-7417231557146.371
_,_,_,50.0000007451,5402157677516.117
_,_,_,50.0000007451,-11436450882997.725
