True Label,Predicted Label,Test Scores (r2 or accuracy),Parameters
49.3751459369,15212970763367.213,-9.077115240275646e+23,"{""alpha"":0.1;""penalty"":""elasticnet""}"
50.0000007451,-8487694918663.94,_,_
50.0000007451,18268454719151.355,_,_
50.0000007451,10107983133094.355,_,_
50.0000007451,15384287029377.62,_,_
50.0000007451,21744198616536.062,_,_
50.0000007451,12931054606080.584,_,_
50.0000007451,45330757259164.586,_,_
50.0000007451,-22362663633777.684,_,_
50.0000007451,-60757729770792.11,_,_
50.0000007451,-26620942362962.12,_,_
50.0000007451,-84342848402232.55,_,_
50.0000007451,-103159105571528.67,_,_
50.0000007451,-12463699376729.37,_,_
50.0000007451,-12144591059108.34,_,_
148.7502926096,-83373879114961.95,_,_
150.0000022352,32209444525050.59,_,_
150.0000022352,-44645598228533.914,_,_
150.0000022352,-35258789996874.195,_,_
150.0000022352,-1213934809737.18,_,_
150.0000022352,48969449780847.99,_,_
150.0000022352,35350148463723.39,_,_
150.0000022352,17068546064319.916,_,_
150.0000022352,-7117989772115.208,_,_
150.0000022352,18587298194581.55,_,_
100.6248563059,-42399598228491.664,_,_
100.0000014901,39252574913570.16,_,_
100.0000014901,-35738089996940.08,_,_
100.0000014901,-84791022785613.36,_,_
100.0000014901,28500290196237.625,_,_
100.0000014901,-24186334606618.01,_,_
100.0000014901,15120138015644.67,_,_
100.0000014901,-1025273631401.1685,_,_
100.0000014901,-6115973672189.464,_,_
100.0000014901,16267412736007.496,_,_
100.0000014901,-31008969955055.89,_,_
100.0000014901,-7672888976632.071,_,_
99.3788078438,49479176077020.71,_,_
50.0000007451,-16542531622057.588,_,_
50.0000007451,-39745203658672.414,_,_
50.0000007451,-40330066366684.44,_,_
50.0000007451,-35634124243378.48,_,_
50.0000007451,-97350396816193.77,_,_
50.0000007451,-20888326297662.84,_,_
50.0000007451,73003794870786.78,_,_
50.0000007451,-1665361692676.4316,_,_
50.0000007451,-13747472200829.309,_,_
50.0000007451,-10403958842286.018,_,_
50.0000007451,7402361118709.778,_,_
50.0000007451,35500067942784.66,_,_
50.0000007451,-24246562089691.152,_,_
50.0000007451,-84843357860380.97,_,_
51.2423880255,-15537286811543.229,_,_
150.0000022352,-75609795165361.62,_,_
150.0000022352,73422853349438.12,_,_
150.0000022352,18065300545581.047,_,_
150.0000022352,10071951962281.576,_,_
150.0000022352,73708597227544.94,_,_
150.0000022352,-39389714789010.49,_,_
150.0000022352,122759980643618.83,_,_
150.0000022352,29632531160839.53,_,_
150.0000022352,29416516805173.16,_,_
149.378808598,-37176059078876.09,_,_
