True Label,Predicted Label,Test Scores (r2 or accuracy)
49.375145,40.766262,-1.6479904094664133
50.0,42.732845,_
50.0,38.052464,_
50.0,33.306236,_
50.0,37.253975,_
50.0,38.089817,_
50.0,37.354855,_
50.0,40.751377,_
50.0,41.255905,_
50.0,41.687412,_
50.0,43.08346,_
50.0,40.976288,_
50.0,40.840305,_
50.0,37.100998,_
50.0,31.918663,_
148.75029,44.532608,_
150.0,36.36982,_
150.0,34.840725,_
150.0,34.94907,_
150.0,31.608704,_
150.0,30.747652,_
150.0,32.161953,_
150.0,32.477043,_
150.0,33.88951,_
150.0,31.129337,_
100.624855,32.848248,_
100.0,36.2122,_
100.0,34.094143,_
100.0,45.93267,_
100.0,42.053055,_
100.0,38.190887,_
100.0,35.389282,_
100.0,39.73772,_
100.0,36.885387,_
100.0,35.292316,_
100.0,37.468983,_
100.0,37.57008,_
99.37881,48.806873,_
50.0,38.253357,_
50.0,36.41248,_
50.0,33.769875,_
50.0,36.584217,_
50.0,39.23532,_
50.0,37.641396,_
50.0,40.277317,_
50.0,39.345776,_
50.0,34.844505,_
50.0,41.344387,_
50.0,36.60608,_
50.0,36.66246,_
50.0,37.335304,_
50.0,38.882454,_
51.24239,32.62893,_
150.0,37.4662,_
150.0,40.336052,_
150.0,35.33327,_
150.0,36.74008,_
150.0,31.262674,_
150.0,38.57969,_
150.0,31.82043,_
150.0,38.149975,_
150.0,36.126186,_
149.37881,40.898514,_
100.0,47.631123,_
100.0,35.044006,_
100.0,36.92927,_
100.0,33.49712,_
100.0,39.85304,_
100.0,42.932014,_
100.0,39.27185,_
100.0,45.08836,_
100.0,44.804295,_
100.0,40.421986,_
100.0,36.075405,_
100.0,39.465767,_
149.37515,42.514694,_
150.0,44.833263,_
150.0,45.024624,_
150.0,38.67917,_
150.0,38.21162,_
150.0,40.501347,_
150.0,39.962074,_
150.0,36.431305,_
150.0,36.990532,_
150.0,42.24365,_
51.24971,41.604855,_
50.0,28.046827,_
50.0,32.534534,_
50.0,34.877266,_
50.0,32.375725,_
50.0,35.313255,_
50.0,36.62362,_
50.0,34.917706,_
50.0,36.220562,_
50.0,34.152843,_
50.0,31.449938,_
50.0,36.796135,_
50.0,39.642788,_
50.0,38.306915,_
50.0,34.674587,_
99.375145,42.982525,_
100.0,41.58156,_
100.0,40.027355,_
100.0,34.4214,_
100.0,36.599358,_
100.0,37.109085,_
100.0,34.99311,_
100.0,41.221157,_
100.0,39.39746,_
100.0,34.27803,_
100.0,40.175667,_
100.0,39.832092,_
98.757614,43.38319,_
0.0,34.343067,_
0.0,32.195446,_
49.375145,41.607895,_
50.0,38.80611,_
50.0,36.895603,_
50.0,37.875313,_
50.0,40.23492,_
50.0,35.854954,_
50.0,40.99927,_
50.0,33.44958,_
50.0,37.936646,_
50.0,36.923023,_
50.0,36.595764,_
50.0,40.64586,_
50.0,36.31022,_
50.0,44.647152,_
50.0,39.868595,_
148.75029,39.78506,_
150.0,39.69156,_
150.0,37.335293,_
150.0,44.04753,_
150.0,37.85278,_
150.0,36.299103,_
150.0,38.82108,_
150.0,40.78518,_
150.0,38.09395,_
150.0,35.94206,_
100.624855,39.275753,_
100.0,37.93928,_
100.0,36.799435,_
100.0,39.121876,_
100.0,33.30621,_
100.0,38.63968,_
100.0,38.72888,_
100.0,38.403606,_
100.0,39.669136,_
100.0,40.412945,_
100.0,36.20313,_
100.0,35.557327,_
99.37881,42.822586,_
50.0,37.33138,_
50.0,38.400257,_
50.0,37.280537,_
50.0,34.421642,_
50.0,39.33037,_
50.0,35.856564,_
50.0,36.776417,_
50.0,37.183804,_
50.0,35.850334,_
50.0,39.048676,_
50.0,36.15797,_
50.0,39.20004,_
50.0,37.442535,_
50.0,39.006428,_
51.24239,31.149628,_
150.0,37.607388,_
150.0,35.255875,_
150.0,34.674313,_
150.0,37.780716,_
150.0,37.042656,_
150.0,37.333084,_
150.0,36.595978,_
150.0,39.241287,_
150.0,38.142673,_
149.37881,45.312374,_
100.0,38.654373,_
100.0,36.200844,_
100.0,36.168964,_
100.0,35.695965,_
100.0,38.261787,_
100.0,38.357075,_
100.0,35.6028,_
100.0,34.07783,_
100.0,36.687412,_
100.0,37.05329,_
100.0,38.798874,_
100.0,35.593033,_
149.37515,40.392376,_
150.0,36.80574,_
150.0,37.044136,_
150.0,34.81588,_
150.0,40.32496,_
150.0,36.073357,_
150.0,38.41877,_
150.0,36.270966,_
150.0,37.027115,_
51.24971,35.72862,_
50.0,38.845924,_
50.0,36.211407,_
50.0,39.733437,_
50.0,39.204227,_
50.0,35.791374,_
50.0,39.77079,_
50.0,35.8487,_
50.0,37.834522,_
50.0,34.661274,_
50.0,37.80848,_
50.0,39.850548,_
50.0,37.604027,_
50.0,37.321125,_
50.0,35.38594,_
99.375145,40.258118,_
100.0,36.727818,_
100.0,34.93925,_
100.0,36.258835,_
100.0,36.528603,_
100.0,34.845562,_
100.0,37.557636,_
100.0,39.73725,_
100.0,35.628036,_
100.0,36.797993,_
100.0,34.119816,_
100.0,36.31428,_
98.757614,43.285267,_
0.0,36.13338,_
0.0,37.912735,_
49.375145,43.47086,_
50.0,39.01458,_
50.0,36.127598,_
50.0,35.25772,_
50.0,36.38786,_
50.0,36.839294,_
50.0,38.67485,_
50.0,38.671,_
50.0,37.72342,_
50.0,37.250366,_
50.0,34.996933,_
50.0,38.896976,_
50.0,37.82476,_
50.0,41.052704,_
50.0,36.71714,_
148.75029,47.73801,_
150.0,36.96786,_
150.0,40.720116,_
150.0,35.604115,_
150.0,39.491802,_
150.0,41.18978,_
150.0,39.495823,_
150.0,36.10142,_
150.0,37.208122,_
150.0,37.002567,_
100.624855,33.26456,_
100.0,38.92642,_
100.0,31.896122,_
100.0,38.35025,_
100.0,39.412766,_
100.0,37.331314,_
100.0,38.684174,_
100.0,40.401157,_
100.0,36.652885,_
100.0,39.099827,_
100.0,44.29009,_
100.0,40.664963,_
99.37881,45.277466,_
50.0,34.84489,_
50.0,36.218243,_
50.0,39.897633,_
50.0,35.905247,_
50.0,37.707497,_
50.0,39.06999,_
50.0,36.35736,_
50.0,38.375454,_
50.0,37.40171,_
50.0,38.030643,_
50.0,38.683086,_
50.0,36.558483,_
50.0,38.630966,_
50.0,35.31335,_
51.24239,32.228523,_
150.0,36.57018,_
150.0,44.477,_
150.0,42.159843,_
150.0,42.827576,_
150.0,39.47643,_
150.0,38.510826,_
150.0,38.26147,_
150.0,37.891502,_
150.0,37.500576,_
149.37881,46.225826,_
100.0,36.8212,_
100.0,35.195137,_
100.0,38.3623,_
100.0,39.24345,_
100.0,37.51615,_
100.0,36.96177,_
100.0,38.612167,_
100.0,37.80813,_
100.0,37.318275,_
100.0,37.23423,_
100.0,38.677094,_
100.0,39.298817,_
149.37515,39.681633,_
150.0,37.69607,_
150.0,39.12997,_
150.0,36.192444,_
150.0,37.07238,_
150.0,37.607574,_
150.0,39.729843,_
150.0,37.64407,_
150.0,39.443665,_
150.0,38.537388,_
51.24971,36.434628,_
50.0,37.117325,_
50.0,35.91245,_
50.0,41.060658,_
50.0,38.795044,_
50.0,36.86085,_
50.0,38.03655,_
50.0,37.54367,_
50.0,39.259575,_
50.0,38.68294,_
50.0,39.987576,_
50.0,37.68526,_
50.0,35.715355,_
50.0,37.833538,_
50.0,40.49355,_
99.375145,37.099197,_
100.0,37.691055,_
100.0,37.54829,_
100.0,44.472336,_
100.0,39.47851,_
100.0,39.243687,_
100.0,38.683254,_
100.0,37.666107,_
100.0,37.1028,_
100.0,37.59383,_
100.0,36.54977,_
100.0,36.460304,_
98.757614,45.728153,_
0.0,39.37723,_
0.0,40.892628,_
49.375145,36.69253,_
50.0,38.309956,_
50.0,37.167778,_
50.0,37.60196,_
50.0,36.220753,_
50.0,34.36377,_
50.0,38.34616,_
50.0,37.08725,_
50.0,39.25118,_
50.0,40.265396,_
50.0,38.665977,_
50.0,37.046947,_
50.0,39.182384,_
50.0,37.651203,_
50.0,39.917667,_
150.0,37.742935,_
150.0,41.611988,_
150.0,38.827427,_
150.0,35.02768,_
150.0,40.23585,_
150.0,37.69964,_
150.0,39.39347,_
150.0,40.187107,_
150.0,38.043053,_
100.624855,38.513443,_
100.0,38.11903,_
100.0,39.429897,_
100.0,38.34102,_
100.0,36.897923,_
100.0,37.519836,_
100.0,38.435883,_
100.0,38.349384,_
100.0,38.58629,_
100.0,41.132984,_
100.0,38.861973,_
100.0,38.665405,_
99.37881,47.498226,_
50.0,38.35068,_
50.0,38.14247,_
50.0,38.96066,_
50.0,38.291595,_
50.0,36.58362,_
50.0,36.49459,_
50.0,38.98051,_
50.0,37.586834,_
50.0,39.75036,_
50.0,38.19166,_
50.0,39.056225,_
50.0,37.23308,_
50.0,36.476505,_
50.0,38.743828,_
51.24239,31.831032,_
150.0,37.70775,_
150.0,38.70818,_
150.0,39.291508,_
150.0,38.40641,_
150.0,39.910114,_
150.0,39.720234,_
150.0,39.598007,_
150.0,38.91931,_
150.0,40.39952,_
149.37881,43.987823,_
100.0,37.345436,_
100.0,39.678555,_
100.0,39.74628,_
100.0,38.62098,_
100.0,38.11346,_
100.0,37.42822,_
100.0,39.857468,_
100.0,39.58927,_
100.0,38.091465,_
100.0,38.16827,_
100.0,36.5694,_
100.0,39.023804,_
149.37515,40.158653,_
150.0,35.931377,_
150.0,37.337593,_
150.0,37.986626,_
150.0,40.85835,_
150.0,38.94748,_
150.0,37.94034,_
150.0,37.312767,_
150.0,39.740723,_
150.0,37.608646,_
51.24971,39.001434,_
50.0,36.95895,_
50.0,38.990562,_
50.0,38.933235,_
50.0,36.170753,_
50.0,37.503468,_
50.0,40.234062,_
50.0,38.201332,_
50.0,37.088974,_
50.0,36.31336,_
50.0,38.580273,_
50.0,40.56561,_
50.0,40.794594,_
50.0,37.37345,_
50.0,34.46521,_
99.375145,38.725475,_
100.0,38.921772,_
100.0,37.268936,_
100.0,38.123062,_
100.0,38.139927,_
100.0,38.217113,_
100.0,38.804916,_
100.0,38.740284,_
100.0,39.975216,_
100.0,37.256817,_
100.0,39.788353,_
100.0,37.898777,_
98.757614,46.50736,_
0.0,36.991695,_
0.0,37.522938,_
49.375145,42.956978,_
50.0,34.938,_
50.0,38.665924,_
50.0,38.228226,_
50.0,38.020466,_
50.0,38.380035,_
50.0,40.100094,_
50.0,38.322033,_
50.0,37.97126,_
50.0,38.5661,_
50.0,37.157494,_
50.0,38.96217,_
50.0,41.19308,_
50.0,37.57769,_
50.0,35.002274,_
148.75029,44.725098,_
150.0,42.232327,_
150.0,38.59238,_
150.0,36.85647,_
150.0,36.905373,_
150.0,38.3022,_
150.0,39.177475,_
150.0,36.149075,_
150.0,40.317104,_
150.0,37.51033,_
100.624855,40.006943,_
100.0,34.722336,_
100.0,33.750034,_
100.0,40.17271,_
100.0,37.295246,_
100.0,40.452217,_
100.0,41.871803,_
100.0,38.61288,_
100.0,39.425735,_
100.0,38.881275,_
100.0,37.779804,_
100.0,37.427223,_
99.37881,45.48643,_
50.0,40.15223,_
50.0,39.404297,_
50.0,35.01971,_
50.0,37.60802,_
50.0,40.15094,_
50.0,38.98831,_
50.0,39.771812,_
50.0,39.274864,_
50.0,41.108322,_
50.0,38.75116,_
50.0,39.950443,_
50.0,33.631718,_
50.0,37.12244,_
51.24239,31.39459,_
150.0,40.716724,_
150.0,37.995724,_
150.0,38.596886,_
150.0,38.989548,_
150.0,35.9587,_
150.0,37.878597,_
150.0,37.280056,_
150.0,38.54593,_
149.37881,47.02086,_
100.0,40.59563,_
100.0,38.069534,_
100.0,36.914394,_
100.0,39.704483,_
100.0,38.11939,_
