True Label,Predicted Label,Test Scores (r2 or accuracy)
2,0,0.4134432466708941
2,0,_
2,2,_
2,1,_
2,2,_
2,0,_
2,0,_
2,2,_
2,1,_
2,1,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,1,_
2,0,_
2,1,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,2,_
2,1,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,0,_
2,0,_
2,2,_
2,1,_
2,2,_
2,0,_
2,0,_
2,2,_
2,2,_
2,0,_
2,2,_
2,0,_
2,0,_
2,2,_
2,1,_
2,0,_
2,0,_
2,1,_
2,0,_
2,2,_
2,0,_
2,1,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,1,_
2,2,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,1,_
2,1,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,1,_
2,0,_
2,1,_
0,1,_
0,0,_
0,1,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,1,_
0,0,_
0,2,_
0,2,_
0,2,_
0,0,_
0,2,_
0,0,_
0,2,_
0,1,_
0,2,_
0,0,_
0,0,_
0,0,_
0,2,_
0,2,_
0,2,_
0,2,_
0,0,_
0,0,_
0,2,_
0,2,_
0,2,_
0,0,_
0,2,_
0,2,_
0,0,_
0,1,_
0,0,_
0,2,_
0,2,_
0,0,_
0,0,_
0,0,_
0,0,_
0,2,_
0,0,_
0,0,_
0,0,_
0,1,_
0,2,_
0,0,_
0,0,_
0,2,_
0,1,_
0,1,_
0,0,_
0,2,_
0,1,_
0,2,_
0,0,_
0,2,_
0,1,_
0,2,_
0,0,_
0,1,_
0,0,_
0,1,_
0,0,_
0,2,_
0,1,_
0,1,_
0,0,_
0,0,_
0,1,_
0,0,_
0,0,_
0,0,_
0,1,_
0,2,_
0,0,_
0,1,_
0,0,_
0,2,_
0,1,_
0,2,_
0,0,_
0,0,_
0,2,_
0,2,_
0,2,_
0,0,_
0,2,_
0,1,_
0,1,_
0,1,_
0,1,_
0,2,_
0,0,_
0,0,_
0,1,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,0,_
0,1,_
0,0,_
0,0,_
0,1,_
0,0,_
0,2,_
0,2,_
0,0,_
2,0,_
2,0,_
2,0,_
2,2,_
2,1,_
2,2,_
2,0,_
2,0,_
2,0,_
2,2,_
2,0,_
2,0,_
2,0,_
2,2,_
2,1,_
2,0,_
2,0,_
2,2,_
2,0,_
2,2,_
2,0,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,0,_
2,0,_
2,0,_
2,1,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,0,_
2,1,_
2,0,_
2,0,_
2,0,_
2,1,_
2,2,_
2,0,_
2,1,_
2,0,_
2,1,_
2,0,_
2,2,_
2,2,_
2,0,_
