True Label,Predicted Label,Test Scores (r2 or accuracy)
49.375145,105.725815,0.09138931439689146
50.0,112.953865,_
50.0,89.191605,_
50.0,85.60445,_
50.0,77.22466,_
50.0,97.93493,_
50.0,88.2469,_
50.0,66.9561,_
50.0,98.475746,_
50.0,94.61116,_
50.0,95.22483,_
50.0,94.94423,_
50.0,86.245026,_
50.0,93.86103,_
50.0,90.51336,_
148.75029,98.41038,_
150.0,100.38592,_
150.0,88.83014,_
150.0,108.080246,_
150.0,94.08531,_
150.0,101.86874,_
150.0,92.956604,_
150.0,89.786224,_
150.0,86.271065,_
150.0,105.90137,_
100.624855,89.44036,_
100.0,93.9206,_
100.0,84.42606,_
100.0,120.406815,_
100.0,86.03166,_
100.0,99.665405,_
100.0,84.46763,_
100.0,98.91473,_
100.0,110.381966,_
100.0,90.63394,_
100.0,97.53546,_
100.0,89.5459,_
99.37881,101.79965,_
50.0,90.265434,_
50.0,91.97517,_
50.0,88.22803,_
50.0,80.7022,_
50.0,98.55349,_
50.0,97.72368,_
50.0,77.37552,_
50.0,71.92688,_
50.0,99.80391,_
50.0,103.58504,_
50.0,85.88322,_
50.0,63.595123,_
50.0,69.02205,_
50.0,73.515594,_
51.24239,92.70777,_
150.0,94.22746,_
150.0,96.01062,_
150.0,96.69644,_
150.0,86.14703,_
150.0,97.9809,_
150.0,93.33317,_
150.0,99.02939,_
150.0,86.289444,_
150.0,100.037704,_
149.37881,106.68682,_
100.0,83.79609,_
100.0,75.997314,_
100.0,75.09507,_
100.0,103.29967,_
100.0,87.17382,_
100.0,99.17213,_
100.0,106.012215,_
100.0,90.62543,_
100.0,117.883286,_
100.0,97.289246,_
100.0,75.229645,_
100.0,92.129524,_
149.37515,91.001755,_
150.0,95.30635,_
150.0,92.1118,_
150.0,95.93187,_
150.0,106.96275,_
150.0,103.06519,_
150.0,106.9729,_
150.0,90.9384,_
150.0,94.43669,_
150.0,100.89637,_
51.24971,87.7441,_
50.0,89.52857,_
50.0,75.861336,_
50.0,85.91179,_
50.0,82.228645,_
50.0,88.372406,_
50.0,72.16819,_
50.0,97.69251,_
50.0,81.11962,_
50.0,73.33212,_
50.0,88.98354,_
50.0,82.10537,_
50.0,74.803246,_
50.0,64.54239,_
50.0,94.31134,_
99.375145,80.20182,_
100.0,108.29076,_
100.0,96.07031,_
100.0,80.314644,_
100.0,84.26884,_
100.0,77.93063,_
100.0,87.00241,_
100.0,102.80738,_
100.0,90.42734,_
100.0,79.6584,_
100.0,99.46491,_
100.0,93.3835,_
98.757614,94.74227,_
0.0,89.4107,_
0.0,64.69774,_
49.375145,93.52797,_
50.0,91.71837,_
50.0,75.91722,_
50.0,88.785736,_
50.0,80.77499,_
50.0,68.12655,_
50.0,87.58058,_
50.0,76.843704,_
50.0,93.62322,_
50.0,95.40384,_
50.0,80.90574,_
50.0,99.33129,_
50.0,99.38137,_
50.0,87.05391,_
50.0,64.50138,_
148.75029,96.137794,_
150.0,89.271904,_
150.0,92.21394,_
150.0,87.72305,_
150.0,86.73414,_
150.0,86.45545,_
150.0,81.42127,_
150.0,101.11406,_
150.0,94.547485,_
150.0,97.34815,_
100.624855,77.37455,_
